file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-001736-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001742-26,L1,landlord,Order,other,False,False
LTB-L-001757-26,L1,landlord,Amended Order,terminated_voidable,False,True
LTB-L-001763-26,L1,landlord,Order,other,False,False
LTB-L-001776-26,L1,landlord,Order,terminated,False,False
LTB-L-001792-26,L1,landlord,Order,money_only,True,False
LTB-L-001804-26,L1,landlord,Order,money_only,True,False
LTB-L-001812-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001818-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001846-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001869-26,L1,landlord,Order,money_only,True,False
LTB-L-001936-26,L1,landlord,Order,money_only,False,False
LTB-L-001948-26,L1,landlord,Order,other,False,False
LTB-L-001950-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002004-26,L1,landlord,Order,dismissed,False,False
LTB-L-002031-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002053-26,L1,landlord,Order,money_only,True,False
LTB-L-002061-26,L1,landlord,Review Order,money_only,True,False
LTB-L-002074-26,L1,landlord,Order,dismissed,False,False
LTB-L-002076-26,L1,landlord,Order,money_only,True,False
LTB-L-002079-26,L1,landlord,Order,money_only,True,False
LTB-L-002080-26,L1,landlord,Order,terminated,True,False
LTB-L-002081-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002111-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002136-26,L1,landlord,Order,money_only,True,False
LTB-L-002145-26,L1,landlord,Order,money_only,True,False
LTB-L-002174-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002175-26,L1,landlord,Order,money_only,True,False
LTB-L-002201-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-002204-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002221-26,L1,landlord,ExParte Order,other,False,False
LTB-L-002224-26,L1,landlord,Order,money_only,True,False
LTB-L-002234-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002236-26,L1,landlord,ExParte Order,other,False,False
LTB-L-002251-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002282-26,L1,landlord,Order,money_only,False,False
LTB-L-002293-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002304-26,L1,landlord,Order,money_only,False,False
LTB-L-002327-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002348-26,L1,landlord,ExParte Order,other,False,False
LTB-L-002387-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002476-26,L1,landlord,Order,terminated,True,True
LTB-L-002526-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002611-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002637-26,L1,landlord,Order,money_only,True,False
LTB-L-002641-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002658-26,L1,landlord,Order,dismissed,False,False
LTB-L-002675-26,L1,landlord,Order,other,False,False
LTB-L-002678-26,L1,landlord,Order,other,False,False
LTB-L-002691-26,L1,landlord,Order,other,False,False
LTB-L-002708-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002734-26,L1,landlord,Order,other,False,False
LTB-L-002736-26,L1,landlord,Order,money_only,True,False
LTB-L-002746-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-002758-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002792-26,L1,landlord,Order,dismissed,False,False
LTB-L-002863-26,L1,landlord,Order,money_only,False,False
LTB-L-002880-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002894-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002896-26,L1,landlord,Order,money_only,True,False
LTB-L-002897-26,L1,landlord,Order,terminated,True,True
LTB-L-002917-26,L1,landlord,Order,money_only,True,False
LTB-L-002955-26,L1,landlord,Order,money_only,True,False
LTB-L-003008-26,L1,landlord,Order,other,False,False
LTB-L-003019-26,L1,landlord,Order,money_only,True,False
LTB-L-003029-26,L1,landlord,Order,money_only,True,False
LTB-L-003051-26,L1,landlord,Order,money_only,True,False
LTB-L-003061-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003078-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003085-26,L1,landlord,Order,withdrawn,True,False
LTB-L-003087-26,L1,landlord,Order,money_only,False,False
LTB-L-003099-26,L1,landlord,Order,terminated,False,True
LTB-L-003109-26,L1,landlord,Order,other,False,False
LTB-L-003165-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003167-26,L1,landlord,Order,terminated,False,False
LTB-L-003172-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003174-26,L1,landlord,Order,other,False,False
LTB-L-003179-26,L1,landlord,Order,money_only,True,False
LTB-L-003186-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003194-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003209-26,L1,landlord,Order,money_only,True,False
LTB-L-003229-26,L1,landlord,Order,other,False,False
LTB-L-003233-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-003241-26,L1,landlord,Order,terminated,False,False
LTB-L-003248-26,L1,landlord,Order,terminated_voidable,False,True
