fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
M6N,106,19,125,6740,18.5,15.7,0.179,75500.0,34.9,32.2,42.35,1148.0,18.2
M6P,85,24,109,10970,9.9,7.7,0.282,86000.0,28.1,40.5,57.56,1612.0,22.5
M6R,59,16,75,4185,17.9,14.1,0.271,104000.0,26.9,40.6,49.06,1718.0,19.8
M6S,65,18,83,4715,17.6,13.8,0.277,108000.0,24.9,34.5,32.46,1592.0,17.7
M8V,197,34,242,11700,19.7,16.8,0.173,79000.0,30.1,43.3,51.33,1582.0,24.0
M8W,59,20,79,3330,23.7,17.7,0.339,95000.0,29.0,38.7,35.48,1534.0,19.4
M8X,10,3,13,1305,10.0,7.7,0.3,139000.0,23.4,46.1,28.37,2098.0,18.1
M8Y,80,9,89,4390,20.3,18.2,0.113,91000.0,32.3,39.4,43.77,1438.0,19.0
M8Z,22,8,30,1500,20.0,14.7,0.364,111000.0,24.7,41.1,20.24,1802.0,19.5
M9A,77,11,88,7695,11.4,10.0,0.143,93000.0,27.8,37.2,49.08,1558.0,20.1
M9B,72,11,83,3330,24.9,21.6,0.153,108000.0,27.2,37.8,26.11,1668.0,18.5
M9C,140,11,151,4455,33.9,31.4,0.079,95000.0,31.9,39.2,29.09,1594.0,20.1
M9L,15,7,22,955,23.0,15.7,0.467,81000.0,39.9,43.5,25.4,1460.0,21.6
M9M,154,6,160,3735,42.8,41.2,0.039,82000.0,34.8,34.1,45.66,1364.0,20.0
M9N,273,13,288,6065,47.2,45.0,0.048,69500.0,41.9,42.0,57.6,1235.0,21.3
M9P,57,4,61,3000,20.3,19.0,0.07,91000.0,31.2,34.6,38.39,1428.0,18.8
M9R,174,14,188,6160,30.5,28.2,0.08,82000.0,36.3,42.3,49.36,1512.0,22.1
M9V,274,17,295,7615,38.2,36.0,0.062,82000.0,33.2,32.2,45.78,1302.0,19.1
M9W,132,14,146,5960,24.5,22.1,0.106,85000.0,33.0,34.1,42.03,1314.0,18.6
N0A,22,4,26,1610,16.1,13.7,0.182,88000.0,16.6,35.6,12.34,1077.0,14.7
N0B,36,12,48,3630,13.2,9.9,0.333,120000.0,15.7,30.4,12.04,1298.0,13.0
N0C,21,6,27,915,29.5,23.0,0.286,85000.0,14.9,32.2,13.96,1184.0,16.7
N0E,12,7,19,1695,11.2,7.1,0.583,92000.0,13.8,26.5,12.42,1030.0,13.4
N0G,102,15,117,6610,17.7,15.4,0.147,83000.0,13.3,32.1,20.13,979.0,14.2
N0H,39,6,45,3355,13.4,11.6,0.154,86000.0,14.6,35.3,14.32,1130.0,15.8
N0J,22,9,31,1775,17.5,12.4,0.409,97000.0,8.7,24.9,15.33,999.0,12.4
N0K,20,1,21,1815,11.6,11.0,0.05,90000.0,4.1,24.8,20.06,953.0,12.7
N0L,23,8,31,2485,12.5,9.3,0.348,100000.0,10.7,25.1,13.23,971.0,11.7
N0M,64,11,75,5095,14.7,12.6,0.172,91000.0,11.1,26.8,18.36,943.0,12.4
N0N,30,9,39,2460,15.9,12.2,0.3,96000.0,18.3,29.6,14.57,1007.0,12.6
N0P,58,9,67,4045,16.6,14.3,0.155,80000.0,15.2,25.2,19.08,871.0,13.1
N0R,14,5,19,1665,11.4,8.4,0.357,107000.0,9.6,26.0,9.2,1098.0,12.3
N1A,18,2,20,1050,19.0,17.1,0.111,77500.0,24.9,38.9,21.06,1002.0,15.5
N1E,54,16,71,4550,15.4,11.9,0.296,96000.0,19.5,33.5,26.0,1350.0,16.9
N1G,42,19,64,3980,15.3,10.6,0.452,98000.0,17.5,38.6,34.61,1514.0,18.5
N1H,136,15,155,8370,18.0,16.2,0.11,77000.0,27.6,36.7,46.28,1229.0,19.2
