fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
P1L,21,3,24,1510,15.9,13.9,0.143,86000.0,27.3,42.6,19.84,1265.0,17.7
P1P,16,6,24,1125,19.6,14.2,0.375,72500.0,22.3,37.1,24.22,1078.0,17.8
P2A,24,5,29,1580,18.4,15.2,0.208,73500.0,13.5,39.9,23.99,1142.0,18.6
P2B,18,4,22,1760,12.5,10.2,0.222,66000.0,14.3,43.5,39.91,949.0,17.3
P2N,30,0,30,1335,22.5,22.5,0.0,60800.0,13.8,34.2,39.32,779.0,15.4
P3A,56,7,65,3780,16.7,14.8,0.125,83000.0,15.4,31.4,36.59,1110.0,16.0
P3B,78,17,97,3885,24.5,20.1,0.218,66500.0,18.2,28.7,51.42,910.0,16.4
P3C,152,27,181,5710,31.3,26.6,0.178,54000.0,23.1,33.8,64.81,955.0,21.2
P3E,77,7,85,6170,13.6,12.5,0.091,85000.0,15.2,32.5,46.08,1135.0,16.0
P3G,4,1,5,120,41.7,33.3,0.25,128000.0,0.0,25.0,7.57,1200.0,11.2
P3L,16,2,18,635,28.3,25.2,0.125,102000.0,17.6,27.6,20.06,1084.0,12.8
P3N,0,2,2,480,4.2,0.0,,107000.0,17.0,33.0,15.79,1032.0,11.6
P3P,9,2,13,870,12.6,10.3,0.222,109000.0,17.8,34.7,14.83,1128.0,12.4
P3Y,6,3,9,385,23.4,15.6,0.5,113000.0,22.1,37.7,12.88,1048.0,11.1
P4N,67,11,78,4235,18.4,15.8,0.164,73500.0,18.8,32.5,38.55,940.0,15.3
P4P,3,1,6,430,9.3,7.0,0.333,101000.0,11.9,17.9,31.85,980.0,11.6
P4R,7,0,7,325,21.5,21.5,0.0,116000.0,9.4,25.0,18.68,1020.0,10.6
P5A,26,4,30,2290,13.1,11.4,0.154,50000.0,27.7,34.9,39.21,822.0,19.7
P5E,4,0,4,560,7.1,7.1,0.0,78500.0,22.0,35.1,23.0,924.0,14.1
P5N,11,3,14,1275,11.0,8.6,0.273,69000.0,11.2,26.0,32.95,738.0,12.8
P6A,89,14,106,4540,22.7,19.6,0.157,78000.0,18.1,35.5,30.23,890.0,13.7
P6B,49,6,56,3670,15.0,13.4,0.122,69000.0,13.1,33.4,35.22,919.0,16.0
P6C,54,4,58,2195,26.4,24.6,0.074,71500.0,17.1,32.2,25.75,930.0,15.6
P7A,45,13,59,4110,14.1,10.9,0.289,78500.0,19.9,30.5,30.84,1042.0,15.9
P7B,49,11,60,4600,13.0,10.7,0.224,70000.0,16.7,29.1,44.99,997.0,17.1
P7C,44,3,47,3035,15.5,14.5,0.068,72500.0,22.1,30.5,31.66,968.0,16.0
P7E,65,5,70,3655,19.2,17.8,0.077,68500.0,22.3,32.0,36.96,956.0,16.7
P7G,5,3,8,320,25.0,15.6,0.6,117000.0,22.6,27.0,6.28,990.0,10.2
P7K,0,1,1,135,7.4,0.0,,118000.0,11.5,22.2,5.05,1100.0,11.2
P8N,7,4,11,1045,10.5,6.7,0.571,83000.0,17.4,25.5,24.25,890.0,12.9
P8T,4,2,6,745,8.1,5.4,0.5,103000.0,11.7,24.5,34.02,1132.0,13.2
P9A,23,2,25,995,25.1,23.1,0.087,82000.0,18.3,24.2,22.46,826.0,12.1
P9N,12,0,12,1640,7.3,7.3,0.0,83000.0,17.0,37.2,26.95,1075.0,15.5
