fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1
K6K,7,7,0,0,0,3,4,0,0,0
P4P,7,4,1,2,0,1,3,1,0,0
P4R,7,7,0,0,2,2,0,0,0,0
L7K,6,5,1,0,2,2,1,0,0,1
N3E,6,4,2,0,3,1,0,0,1,0
P3G,6,5,1,0,0,3,0,1,0,0
K9L,6,2,4,0,2,0,0,2,0,0
P8T,6,4,2,0,3,0,0,1,0,0
N4L,6,4,2,0,2,1,0,2,0,0
P0W,5,4,1,0,2,2,0,1,0,0
L1Y,5,5,0,0,2,0,3,0,0,0
N4B,5,5,0,0,2,2,1,0,0,0
K8R,5,4,1,0,3,0,0,1,0,0
K1P,5,4,1,0,2,0,0,1,0,0
L3L,5,4,1,0,2,2,0,1,0,0
N3B,5,5,0,0,3,0,1,0,0,0
P0X,5,3,2,0,2,1,0,2,0,0
K1X,5,4,1,0,3,0,0,1,0,0
K2W,4,4,0,0,0,3,1,0,0,0
P5E,4,4,0,0,3,0,1,0,0,0
N5G,4,4,0,0,0,0,4,0,0,0
L9P,4,4,0,0,4,0,0,0,0,0
P0E,4,4,0,0,3,1,0,0,0,0
L0N,4,3,1,0,3,0,0,1,0,0
P0G,3,3,0,0,3,0,0,0,0,0
P3N,3,0,3,0,0,0,0,0,0,1
K4B,3,1,2,0,0,1,0,1,0,0
N7W,3,2,1,0,2,0,0,0,0,0
N3V,3,3,0,0,3,0,0,0,0,0
N9K,3,3,0,0,3,0,0,0,0,0
N5L,3,3,0,0,1,1,1,0,0,0
P0B,2,2,0,0,1,1,0,0,0,0
L0P,2,1,1,0,0,0,0,0,0,0
N4Z,2,2,0,0,0,2,0,0,0,0
N4V,2,2,0,0,1,0,0,0,0,0
L5T,2,2,0,0,0,0,2,0,0,0
K4R,2,2,0,0,1,0,0,0,0,0
L0J,2,2,0,0,0,1,0,0,0,0
L2W,1,0,0,1,0,0,0,0,0,0
N1P,1,1,0,0,1,0,0,0,0,0
K3V,1,1,0,0,0,1,0,0,0,0
L0H,1,1,0,0,0,0,0,0,0,0
P0C,1,1,0,0,0,0,0,0,0,0
N9S,1,1,0,0,1,0,0,0,0,0
B3K,1,1,0,0,1,0,0,0,0,0
K2R,1,1,0,0,0,0,1,0,0,0
P6G,1,1,0,0,1,0,0,0,0,0
L3E,1,1,0,0,0,1,0,0,0,0
N9X,1,0,1,0,0,0,0,0,0,0
K4C,1,0,1,0,0,0,0,0,0,0
L4F,1,0,1,0,0,0,0,1,0,0
P6P,1,0,1,0,0,0,0,0,0,0
E7B,1,0,1,0,0,0,0,0,0,0
P0Y,1,0,1,0,0,0,0,1,0,0
K6N,1,0,1,0,0,0,0,0,1,0
C1A,1,0,1,0,0,0,0,0,1,0
P7K,1,0,1,0,0,0,0,0,0,1
