category,population,sample_n,found_rate,sample_mean,estimated_total
L1,20162,100.0,0.74,7062.12,105365982.94559999
L4,5158,100.0,0.73,5305.07,19975392.273799997
L2,5247,100.0,0.37,2329.95,4523341.630499999
T2,2200,100.0,0.27,3432.57,2038946.58
T6,1079,100.0,0.33,4372.2,1556809.254
T1,1041,100.0,0.69,1870.19,1343338.7751
