category,count_total,count_with_amount,found_rate,min,max,median,mean
L1,100,74,0.74,190.63,40823.0,5050.0,7062.12
L2,100,37,0.37,186.0,19110.56,1200.0,2329.95
L4,100,73,0.73,0.0,33227.3,4139.67,5305.07
T2,100,27,0.27,48.0,20397.5,1500.0,3432.57
T6,100,33,0.33,240.4,28500.0,2000.0,4372.2
T1,100,69,0.69,48.0,7219.2,1274.67,1870.19
