scope,party,orders_naming_attendance,attended,pct_attended,represented,pct_represented,pct_represented_of_attending
all application types,landlord,3564,3108,87.2,2415,67.8,77.7
all application types,tenant,3564,1917,53.8,345,9.7,18.0
