"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Population and dwelling counts: Canada and forward sortation areas ©","98100019",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001901",1,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","2","All persons, 2021 Census – 100% data","Population and dwelling counts (3)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
"1","Geographic name",,,""
"2","Population and dwelling counts (3)",,,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
"1","B1G","[B1G]","55","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1H","[B1H]","56","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1J","[B1J]","57","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1K","[B1K]","58","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1L","[B1L]","59","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1M","[B1M]","60","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1N","[B1N]","61","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1P","[B1P]","62","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1R","[B1R]","63","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1S","[B1S]","64","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1T","[B1T]","65","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1V","[B1V]","66","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1W","[B1W]","67","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1X","[B1X]","68","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B1Y","[B1Y]","69","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2A","[B2A]","70","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2C","[B2C]","71","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2E","[B2E]","72","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2G","[B2G]","73","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2H","[B2H]","74","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2J","[B2J]","75","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2N","[B2N]","76","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2R","[B2R]","77","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2S","[B2S]","78","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2T","[B2T]","79","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2V","[B2V]","80","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
"1","B2W","[B2W]","81","1","",,,17;3;4;5;9;10;14;15;12;13;16;18,
