REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,B4E,2021A0011B4E,104,19718,,7752,,7609,
2021,B4G,2021A0011B4G,105,5430,,1941,,1906,
2021,B4H,2021A0011B4H,106,13723,,7582,,6383,
2021,B4N,2021A0011B4N,107,18024,,8462,,8122,
2021,B4P,2021A0011B4P,108,8780,,4636,,4040,
2021,B4R,2021A0011B4R,109,2858,,1198,,1175,
2021,B4V,2021A0011B4V,110,20376,,10281,,9310,
2021,B5A,2021A0011B5A,111,16753,,8573,,7624,
2021,B6L,2021A0011B6L,112,12989,,5596,,5354,
2021,B9A,2021A0011B9A,113,4472,,2165,,1973,
2021,C0A,2021A0011C0A,114,48140,,24365,,19417,
2021,C0B,2021A0011C0B,115,29902,,15557,,12414,
2021,C1A,2021A0011C1A,116,25861,,13091,,12069,
2021,C1B,2021A0011C1B,117,14817,,6275,,5794,
2021,C1C,2021A0011C1C,118,5239,,2308,,2216,
2021,C1E,2021A0011C1E,119,12681,,5122,,4846,
2021,C1N,2021A0011C1N,120,17691,,8216,,7814,
2021,E1A,2021A0011E1A,121,48336,,21632,,20536,
2021,E1B,2021A0011E1B,122,20584,,8797,,8651,
2021,E1C,2021A0011E1C,123,25834,,13511,,12464,
2021,E1E,2021A0011E1E,124,11936,,5578,,5340,
2021,E1G,2021A0011E1G,125,24784,,9625,,9362,
2021,E1H,2021A0011E1H,126,7883,,3463,,3376,
2021,E1J,2021A0011E1J,127,3736,,1493,,1451,
2021,E1N,2021A0011E1N,128,11333,,5519,,5078,
2021,E1V,2021A0011E1V,129,13811,,6533,,6096,
2021,E1W,2021A0011E1W,130,6940,,3616,,3283,
2021,E1X,2021A0011E1X,131,14082,,6648,,6260,
2021,E2A,2021A0011E2A,132,17408,,9041,,8162,
2021,E2E,2021A0011E2E,133,19840,,7799,,7605,
2021,E2G,2021A0011E2G,134,5528,,2121,,2081,
2021,E2H,2021A0011E2H,135,4748,,1971,,1914,
2021,E2J,2021A0011E2J,136,16058,,7698,,7417,
2021,E2K,2021A0011E2K,137,18798,,8968,,8302,
2021,E2L,2021A0011E2L,138,8221,,5228,,4598,
2021,E2M,2021A0011E2M,139,18836,,8653,,8256,
2021,E2N,2021A0011E2N,140,4310,,1772,,1721,
2021,E2P,2021A0011E2P,141,1337,,570,,556,
2021,E2R,2021A0011E2R,142,10,,5,,5,
2021,E2S,2021A0011E2S,143,6970,,2831,,2727,
2021,E2V,2021A0011E2V,144,14545,,6091,,5782,
2021,E3A,2021A0011E3A,145,29462,,13097,,12701,
2021,E3B,2021A0011E3B,146,39788,,18861,,17818,
2021,E3C,2021A0011E3C,147,12321,,5018,,4907,
2021,E3E,2021A0011E3E,148,4719,,1808,,1770,
2021,E3G,2021A0011E3G,149,9122,,3632,,3565,
2021,E3L,2021A0011E3L,150,8439,,4141,,3757,
2021,E3N,2021A0011E3N,151,13467,,6640,,6186,
2021,E3V,2021A0011E3V,152,12142,,6094,,5733,
2021,E3Y,2021A0011E3Y,153,7113,,3233,,3102,
2021,E3Z,2021A0011E3Z,154,3965,,1985,,1861,
2021,E4A,2021A0011E4A,155,3001,,1752,,1472,
2021,E4B,2021A0011E4B,156,4263,,2549,,2000,
2021,E4C,2021A0011E4C,157,2451,,1840,,1118,
2021,E4E,2021A0011E4E,158,9163,,4430,,4085,
2021,E4G,2021A0011E4G,159,2714,,1178,,1108,
2021,E4H,2021A0011E4H,160,4208,,2087,,1855,
2021,E4J,2021A0011E4J,161,5001,,2141,,2061,
2021,E4K,2021A0011E4K,162,6398,,2602,,2500,
2021,E4L,2021A0011E4L,163,7746,,3785,,3362,
2021,E4M,2021A0011E4M,164,1937,,1466,,901,
2021,E4N,2021A0011E4N,165,3895,,1888,,1637,
2021,E4P,2021A0011E4P,166,15900,,8020,,6928,
2021,E4R,2021A0011E4R,167,6883,,4013,,3085,
2021,E4S,2021A0011E4S,168,7276,,3645,,3207,
2021,E4T,2021A0011E4T,169,2192,,1138,,990,
2021,E4V,2021A0011E4V,170,4518,,2031,,1869,
2021,E4W,2021A0011E4W,171,8603,,4195,,3738,
2021,E4X,2021A0011E4X,172,3090,,1435,,1339,
2021,E4Y,2021A0011E4Y,173,3059,,1526,,1395,
2021,E4Z,2021A0011E4Z,174,5871,,2803,,2460,
2021,E5A,2021A0011E5A,175,1622,,826,,719,
2021,E5B,2021A0011E5B,176,3331,,1808,,1502,
2021,E5C,2021A0011E5C,177,4356,,2146,,1876,
2021,E5E,2021A0011E5E,178,949,,612,,423,
2021,E5G,2021A0011E5G,179,2734,,1514,,1247,
2021,E5H,2021A0011E5H,180,2912,,1326,,1227,
2021,E5J,2021A0011E5J,181,2112,,1122,,945,
2021,E5K,2021A0011E5K,182,7261,,3047,,2907,
2021,E5L,2021A0011E5L,183,2902,,1337,,1232,
2021,E5M,2021A0011E5M,184,2170,,1079,,943,
2021,E5N,2021A0011E5N,185,12263,,5222,,4892,
2021,E5P,2021A0011E5P,186,2682,,1113,,1033,
2021,E5R,2021A0011E5R,187,1517,,785,,688,
2021,E5S,2021A0011E5S,188,1887,,1002,,837,
2021,E5T,2021A0011E5T,189,3149,,1739,,1307,
2021,E5V,2021A0011E5V,190,718,,475,,344,
2021,E6A,2021A0011E6A,191,1237,,608,,512,
2021,E6B,2021A0011E6B,192,1574,,740,,662,
2021,E6C,2021A0011E6C,193,2104,,952,,885,
2021,E6E,2021A0011E6E,194,1492,,770,,666,
2021,E6G,2021A0011E6G,195,2655,,1348,,1182,
2021,E6H,2021A0011E6H,196,1216,,906,,570,
2021,E6J,2021A0011E6J,197,1234,,645,,566,
2021,E6K,2021A0011E6K,198,4086,,2241,,1793,
2021,E6L,2021A0011E6L,199,4823,,2104,,1980,
2021,E7A,2021A0011E7A,200,3705,,1949,,1724,
2021,E7B,2021A0011E7B,201,5641,,2609,,2487,
2021,E7C,2021A0011E7C,202,5061,,2406,,2316,
2021,E7E,2021A0011E7E,203,4097,,1949,,1828,
2021,E7G,2021A0011E7G,204,3621,,1970,,1662,
2021,E7H,2021A0011E7H,205,5601,,2727,,2457,
2021,E7J,2021A0011E7J,206,1904,,904,,836,
2021,E7K,2021A0011E7K,207,2406,,1074,,1027,
2021,E7L,2021A0011E7L,208,5099,,2389,,2174,
2021,E7M,2021A0011E7M,209,10438,,4672,,4452,
2021,E7N,2021A0011E7N,210,3157,,1419,,1247,
2021,E7P,2021A0011E7P,211,3471,,1537,,1438,
2021,E8A,2021A0011E8A,212,3644,,1702,,1608,
2021,E8B,2021A0011E8B,213,2305,,1107,,1056,
2021,E8C,2021A0011E8C,214,3699,,1884,,1721,
2021,E8E,2021A0011E8E,215,5117,,2486,,2305,
2021,E8G,2021A0011E8G,216,2468,,1469,,1289,
2021,E8J,2021A0011E8J,217,5624,,2663,,2494,
2021,E8K,2021A0011E8K,218,8712,,4193,,3917,
2021,E8L,2021A0011E8L,219,2256,,1070,,1019,
2021,E8M,2021A0011E8M,220,2021,,980,,925,
2021,E8N,2021A0011E8N,221,2396,,1454,,1213,
2021,E8P,2021A0011E8P,222,3408,,1680,,1520,
2021,E8R,2021A0011E8R,223,3125,,1586,,1445,
2021,E8S,2021A0011E8S,224,4610,,2299,,2069,
2021,E8T,2021A0011E8T,225,5713,,3016,,2669,
2021,E9A,2021A0011E9A,226,2229,,1149,,1025,
2021,E9B,2021A0011E9B,227,2274,,1167,,990,
2021,E9C,2021A0011E9C,228,2149,,1213,,1023,
2021,E9E,2021A0011E9E,229,3870,,1932,,1715,
2021,E9G,2021A0011E9G,230,5297,,2421,,2239,
2021,E9H,2021A0011E9H,231,2931,,1407,,1290,
2021,G0A,2021A0011G0A,232,83411,,42396,,36334,
2021,G0C,2021A0011G0C,233,45955,,23601,,21675,
2021,G0E,2021A0011G0E,234,4630,,2907,,2323,
2021,G0G,2021A0011G0G,235,16315,,8853,,6959,
2021,G0H,2021A0011G0H,236,10538,,5445,,4761,
2021,G0J,2021A0011G0J,237,29007,,16469,,13804,
2021,G0K,2021A0011G0K,238,11722,,6581,,5396,
2021,G0L,2021A0011G0L,239,60937,,32170,,27385,
2021,G0M,2021A0011G0M,240,34401,,16844,,14953,
2021,G0N,2021A0011G0N,241,19994,,10918,,9097,
2021,G0P,2021A0011G0P,242,6786,,3418,,2928,
2021,G0R,2021A0011G0R,243,84338,,43153,,37733,
2021,G0S,2021A0011G0S,244,72494,,32475,,30343,
2021,G0T,2021A0011G0T,245,13560,,7759,,6495,
2021,G0V,2021A0011G0V,246,18374,,10207,,8068,
2021,G0W,2021A0011G0W,247,36541,,18298,,15134,
2021,G0X,2021A0011G0X,248,60486,,33235,,27708,
2021,G0Y,2021A0011G0Y,249,9320,,5875,,4362,
2021,G0Z,2021A0011G0Z,250,8974,,4289,,3920,
2021,G1B,2021A0011G1B,251,16698,,6762,,6626,
2021,G1C,2021A0011G1C,252,36215,,16886,,16394,
2021,G1E,2021A0011G1E,253,27753,,14733,,14031,
2021,G1G,2021A0011G1G,254,24975,,11493,,11206,
2021,G1H,2021A0011G1H,255,29618,,15572,,14939,
2021,G1J,2021A0011G1J,256,23325,,14182,,13227,
2021,G1K,2021A0011G1K,257,18911,,12884,,11435,
2021,G1L,2021A0011G1L,258,22024,,13773,,12769,
2021,G1M,2021A0011G1M,259,20770,,10538,,10025,
2021,G1N,2021A0011G1N,260,8400,,5363,,4996,
2021,G1P,2021A0011G1P,261,16538,,8450,,8071,
2021,G1R,2021A0011G1R,262,16423,,12386,,10464,
2021,G1S,2021A0011G1S,263,25912,,14792,,13656,
2021,G1T,2021A0011G1T,264,6797,,2937,,2792,
2021,G1V,2021A0011G1V,265,23629,,15426,,12271,
2021,G1W,2021A0011G1W,266,22499,,11121,,10476,
2021,G1X,2021A0011G1X,267,26746,,13699,,12979,
2021,G1Y,2021A0011G1Y,268,12738,,5703,,5484,
2021,G2A,2021A0011G2A,269,15350,,6729,,6528,
2021,G2B,2021A0011G2B,270,24936,,11616,,11263,
2021,G2C,2021A0011G2C,271,12283,,6191,,5912,
2021,G2E,2021A0011G2E,272,21054,,9337,,9111,
2021,G2G,2021A0011G2G,273,10790,,4911,,4773,
2021,G2J,2021A0011G2J,274,3223,,1885,,1772,
2021,G2K,2021A0011G2K,275,12845,,6994,,6430,
2021,G2L,2021A0011G2L,276,14609,,6939,,6669,
2021,G2M,2021A0011G2M,277,5625,,2306,,2256,
2021,G2N,2021A0011G2N,278,8486,,3600,,3495,
2021,G3A,2021A0011G3A,279,20233,,8604,,8286,
2021,G3B,2021A0011G3B,280,8315,,3268,,3133,
2021,G3C,2021A0011G3C,281,10434,,4723,,4161,
2021,G3E,2021A0011G3E,282,16115,,6379,,6270,
2021,G3G,2021A0011G3G,283,10026,,4179,,4070,
2021,G3H,2021A0011G3H,284,10142,,4352,,4186,
2021,G3J,2021A0011G3J,285,10635,,4697,,4530,
