REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,H7E,2021A0011H7E,452,26590,,10345,,10149,
2021,H7G,2021A0011H7G,453,22054,,9435,,9075,
2021,H7H,2021A0011H7H,454,13865,,5078,,5018,
2021,H7J,2021A0011H7J,455,2161,,905,,875,
2021,H7K,2021A0011H7K,456,22475,,8406,,8210,
2021,H7L,2021A0011H7L,457,37893,,13780,,13556,
2021,H7M,2021A0011H7M,458,27729,,10868,,10625,
2021,H7N,2021A0011H7N,459,44641,,21408,,20354,
2021,H7P,2021A0011H7P,460,37456,,14684,,14332,
2021,H7R,2021A0011H7R,461,31001,,11519,,11256,
2021,H7S,2021A0011H7S,462,7752,,3332,,3246,
2021,H7T,2021A0011H7T,463,28213,,12129,,11491,
2021,H7V,2021A0011H7V,464,23242,,10593,,9731,
2021,H7W,2021A0011H7W,465,42580,,17932,,16908,
2021,H7X,2021A0011H7X,466,27332,,9843,,9547,
2021,H7Y,2021A0011H7Y,467,9978,,3442,,3390,
2021,H8N,2021A0011H8N,468,33207,,14934,,14145,
2021,H8P,2021A0011H8P,469,22980,,11083,,10474,
2021,H8R,2021A0011H8R,470,31491,,14411,,13602,
2021,H8S,2021A0011H8S,471,25686,,12363,,11635,
2021,H8T,2021A0011H8T,472,15270,,7055,,6834,
2021,H8Y,2021A0011H8Y,473,19915,,7852,,7625,
2021,H8Z,2021A0011H8Z,474,15127,,5822,,5637,
2021,H9A,2021A0011H9A,475,15267,,5392,,5264,
2021,H9B,2021A0011H9B,476,21104,,7757,,7578,
2021,H9C,2021A0011H9C,477,11725,,4211,,4137,
2021,H9E,2021A0011H9E,478,3190,,1256,,1208,
2021,H9G,2021A0011H9G,479,15346,,5852,,5737,
2021,H9H,2021A0011H9H,480,25097,,9638,,9377,
2021,H9J,2021A0011H9J,481,21393,,7684,,7529,
2021,H9K,2021A0011H9K,482,8898,,3087,,3027,
2021,H9P,2021A0011H9P,483,3836,,1547,,1512,
2021,H9R,2021A0011H9R,484,26002,,10270,,9918,
2021,H9S,2021A0011H9S,485,22984,,11143,,10624,
2021,H9W,2021A0011H9W,486,19277,,6915,,6753,
2021,H9X,2021A0011H9X,487,9744,,4057,,3786,
2021,J0A,2021A0011J0A,488,19149,,9020,,8239,
2021,J0B,2021A0011J0B,489,65700,,32981,,28136,
2021,J0C,2021A0011J0C,490,23445,,10332,,9786,
2021,J0E,2021A0011J0E,491,51896,,28558,,23186,
2021,J0G,2021A0011J0G,492,18624,,9267,,8497,
2021,J0H,2021A0011J0H,493,52946,,22956,,22054,
2021,J0J,2021A0011J0J,494,42141,,19527,,17743,
2021,J0K,2021A0011J0K,495,149238,,78999,,67140,
2021,J0L,2021A0011J0L,496,83316,,34423,,33387,
2021,J0M,2021A0011J0M,497,25104,,7885,,6649,
2021,J0N,2021A0011J0N,498,52112,,20731,,20252,
2021,J0P,2021A0011J0P,499,42965,,18635,,17819,
2021,J0R,2021A0011J0R,500,39041,,21353,,18062,
2021,J0S,2021A0011J0S,501,34124,,16563,,14780,
2021,J0T,2021A0011J0T,502,51466,,42290,,26033,
2021,J0V,2021A0011J0V,503,27294,,17146,,12908,
2021,J0W,2021A0011J0W,504,16608,,11615,,8138,
2021,J0X,2021A0011J0X,505,48487,,32403,,21788,
2021,J0Y,2021A0011J0Y,506,29035,,14125,,12282,
2021,J0Z,2021A0011J0Z,507,34456,,17493,,15058,
2021,J1A,2021A0011J1A,508,9132,,4382,,4115,
2021,J1C,2021A0011J1C,509,6841,,2822,,2754,
2021,J1E,2021A0011J1E,510,25866,,13498,,12658,
2021,J1G,2021A0011J1G,511,19632,,9625,,9139,
2021,J1H,2021A0011J1H,512,29653,,17353,,15597,
2021,J1J,2021A0011J1J,513,15452,,7824,,7301,
2021,J1K,2021A0011J1K,514,7435,,4157,,3450,
2021,J1L,2021A0011J1L,515,16036,,8523,,8214,
2021,J1M,2021A0011J1M,516,5923,,3020,,2624,
2021,J1N,2021A0011J1N,517,35087,,14900,,14511,
2021,J1R,2021A0011J1R,518,10960,,4288,,4219,
2021,J1S,2021A0011J1S,519,7862,,3638,,3439,
2021,J1T,2021A0011J1T,520,7993,,4117,,3873,
2021,J1X,2021A0011J1X,521,33945,,18571,,15965,
2021,J1Z,2021A0011J1Z,522,5742,,2269,,2185,
2021,J2A,2021A0011J2A,523,12264,,5093,,4951,
2021,J2B,2021A0011J2B,524,33110,,15949,,15379,
2021,J2C,2021A0011J2C,525,29991,,15040,,14608,
2021,J2E,2021A0011J2E,526,4454,,2052,,1998,
2021,J2G,2021A0011J2G,527,28297,,14957,,14406,
2021,J2H,2021A0011J2H,528,22474,,9256,,9064,
2021,J2J,2021A0011J2J,529,18341,,8601,,8428,
2021,J2K,2021A0011J2K,530,18291,,8632,,8273,
2021,J2L,2021A0011J2L,531,11381,,6263,,5073,
2021,J2M,2021A0011J2M,532,7238,,3091,,2904,
2021,J2N,2021A0011J2N,533,10149,,4697,,4446,
2021,J2R,2021A0011J2R,534,10383,,4516,,4408,
2021,J2S,2021A0011J2S,535,29943,,15567,,14684,
2021,J2T,2021A0011J2T,536,17072,,8076,,7839,
2021,J2W,2021A0011J2W,537,28762,,11325,,11166,
2021,J2X,2021A0011J2X,538,20485,,8758,,8467,
2021,J2Y,2021A0011J2Y,539,5576,,2226,,2186,
2021,J3A,2021A0011J3A,540,9136,,5560,,5362,
2021,J3B,2021A0011J3B,541,33908,,16383,,15729,
2021,J3E,2021A0011J3E,542,30045,,11761,,11609,
2021,J3G,2021A0011J3G,543,33664,,14303,,14017,
2021,J3H,2021A0011J3H,544,26673,,10992,,10804,
2021,J3L,2021A0011J3L,545,53680,,21567,,21125,
2021,J3M,2021A0011J3M,546,11345,,4784,,4683,
2021,J3N,2021A0011J3N,547,17053,,6635,,6561,
2021,J3P,2021A0011J3P,548,25025,,12702,,12149,
2021,J3R,2021A0011J3R,549,14452,,7314,,7048,
2021,J3T,2021A0011J3T,550,8620,,3923,,3752,
2021,J3V,2021A0011J3V,551,26050,,10566,,10383,
2021,J3X,2021A0011J3X,552,21198,,8538,,8412,
2021,J3Y,2021A0011J3Y,553,66364,,27993,,27238,
2021,J3Z,2021A0011J3Z,554,5774,,1842,,1830,
2021,J4B,2021A0011J4B,555,41743,,17733,,17291,
2021,J4G,2021A0011J4G,556,10010,,4827,,4727,
2021,J4H,2021A0011J4H,557,15593,,8582,,8195,
2021,J4J,2021A0011J4J,558,31102,,15546,,14958,
2021,J4K,2021A0011J4K,559,27024,,14003,,13290,
2021,J4L,2021A0011J4L,560,31866,,14338,,13859,
2021,J4M,2021A0011J4M,561,13149,,4989,,4938,
2021,J4N,2021A0011J4N,562,11382,,5258,,5123,
2021,J4P,2021A0011J4P,563,11249,,5771,,5450,
2021,J4R,2021A0011J4R,564,10674,,5199,,4973,
2021,J4S,2021A0011J4S,565,6303,,3166,,3061,
2021,J4T,2021A0011J4T,566,19718,,9007,,8698,
2021,J4V,2021A0011J4V,567,17033,,7541,,7296,
2021,J4W,2021A0011J4W,568,18191,,7523,,7320,
2021,J4X,2021A0011J4X,569,19192,,7471,,7160,
2021,J4Y,2021A0011J4Y,570,25459,,10222,,9835,
2021,J4Z,2021A0011J4Z,571,28686,,12061,,11572,
2021,J5A,2021A0011J5A,572,29922,,11491,,11301,
2021,J5B,2021A0011J5B,573,8319,,3557,,3475,
2021,J5C,2021A0011J5C,574,17347,,7016,,6909,
2021,J5J,2021A0011J5J,575,18080,,7490,,7211,
2021,J5K,2021A0011J5K,576,17740,,6807,,6632,
2021,J5L,2021A0011J5L,577,22965,,9534,,9330,
2021,J5M,2021A0011J5M,578,24005,,9605,,9279,
2021,J5N,2021A0011J5N,579,169,,83,,74,
2021,J5R,2021A0011J5R,580,49403,,20269,,19780,
2021,J5T,2021A0011J5T,581,14425,,5973,,5838,
2021,J5V,2021A0011J5V,582,7340,,3857,,3659,
2021,J5W,2021A0011J5W,583,26780,,10875,,10662,
2021,J5X,2021A0011J5X,584,8892,,3699,,3587,
2021,J5Y,2021A0011J5Y,585,30084,,11237,,11081,
2021,J5Z,2021A0011J5Z,586,28005,,11799,,11596,
2021,J6A,2021A0011J6A,587,34313,,14891,,14646,
2021,J6E,2021A0011J6E,588,46434,,23104,,22010,
2021,J6J,2021A0011J6J,589,24855,,10391,,10083,
2021,J6K,2021A0011J6K,590,25960,,10021,,9834,
2021,J6N,2021A0011J6N,591,16014,,7479,,7276,
2021,J6R,2021A0011J6R,592,14626,,5472,,5398,
2021,J6S,2021A0011J6S,593,24765,,12005,,11480,
2021,J6T,2021A0011J6T,594,18022,,8957,,8593,
2021,J6V,2021A0011J6V,595,14621,,5613,,5479,
2021,J6W,2021A0011J6W,596,32422,,13677,,13444,
2021,J6X,2021A0011J6X,597,25257,,9732,,9590,
2021,J6Y,2021A0011J6Y,598,22926,,8145,,7976,
2021,J6Z,2021A0011J6Z,599,19627,,7795,,7639,
2021,J7A,2021A0011J7A,600,14187,,5368,,5277,
2021,J7B,2021A0011J7B,601,13068,,4496,,4434,
2021,J7C,2021A0011J7C,602,46679,,18343,,17971,
2021,J7E,2021A0011J7E,603,29356,,13886,,13298,
2021,J7G,2021A0011J7G,604,17310,,7383,,7233,
2021,J7H,2021A0011J7H,605,8185,,3706,,3583,
2021,J7J,2021A0011J7J,606,27644,,11847,,11481,
2021,J7K,2021A0011J7K,607,36960,,14977,,14770,
2021,J7L,2021A0011J7L,608,14223,,5313,,5211,
2021,J7M,2021A0011J7M,609,24708,,8884,,8753,
2021,J7N,2021A0011J7N,610,33449,,13660,,13308,
2021,J7P,2021A0011J7P,611,25226,,11068,,10849,
2021,J7R,2021A0011J7R,612,37992,,15804,,15388,
2021,J7T,2021A0011J7T,613,29584,,10677,,10522,
2021,J7V,2021A0011J7V,614,69657,,27935,,27110,
2021,J7W,2021A0011J7W,615,14751,,5786,,5640,
2021,J7X,2021A0011J7X,616,5643,,2453,,2411,
2021,J7Y,2021A0011J7Y,617,27006,,13774,,13297,
2021,J7Z,2021A0011J7Z,618,30230,,15464,,14740,
2021,J8A,2021A0011J8A,619,10669,,5597,,4683,
2021,J8B,2021A0011J8B,620,14012,,8002,,6897,
2021,J8C,2021A0011J8C,621,11667,,7246,,5754,
2021,J8E,2021A0011J8E,622,11046,,8848,,5435,
2021,J8G,2021A0011J8G,623,8209,,5104,,3821,
2021,J8H,2021A0011J8H,624,15142,,7901,,7098,
2021,J8L,2021A0011J8L,625,20056,,9214,,8552,
2021,J8M,2021A0011J8M,626,13157,,5389,,5241,
2021,J8N,2021A0011J8N,627,13833,,7543,,5609,
2021,J8P,2021A0011J8P,628,35320,,16341,,15679,
2021,J8R,2021A0011J8R,629,28947,,11315,,11050,
2021,J8T,2021A0011J8T,630,37832,,18592,,17667,
2021,J8V,2021A0011J8V,631,27274,,10576,,10223,
2021,J8X,2021A0011J8X,632,11782,,7174,,6130,
2021,J8Y,2021A0011J8Y,633,23803,,13386,,12235,
2021,J8Z,2021A0011J8Z,634,14814,,7798,,7382,
2021,J9A,2021A0011J9A,635,22508,,10439,,9944,
2021,J9B,2021A0011J9B,636,7999,,3375,,3040,
2021,J9E,2021A0011J9E,637,7664,,4140,,3708,
2021,J9H,2021A0011J9H,638,32921,,14045,,13462,
2021,J9J,2021A0011J9J,639,41342,,16388,,15717,
2021,J9L,2021A0011J9L,640,14164,,7211,,6688,
2021,J9P,2021A0011J9P,641,33008,,15977,,15113,
2021,J9T,2021A0011J9T,642,13221,,6222,,5921,
2021,J9V,2021A0011J9V,643,3409,,1734,,1579,
2021,J9X,2021A0011J9X,644,22993,,12407,,11522,
2021,J9Y,2021A0011J9Y,645,10755,,4455,,4169,
2021,J9Z,2021A0011J9Z,646,7411,,3717,,3510,
2021,K0A,2021A0011K0A,647,111626,,43737,,42226,
2021,K0B,2021A0011K0B,648,21020,,9489,,8903,
2021,K0C,2021A0011K0C,649,52838,,22714,,21675,
2021,K0E,2021A0011K0E,650,39649,,18426,,16491,
2021,K0G,2021A0011K0G,651,39862,,19411,,16330,
2021,K0H,2021A0011K0H,652,47286,,25346,,19081,
2021,K0J,2021A0011K0J,653,34322,,19885,,14903,
2021,K0K,2021A0011K0K,654,115850,,53153,,47028,
2021,K0L,2021A0011K0L,655,78142,,48786,,33068,
2021,K0M,2021A0011K0M,656,53815,,37422,,23614,
2021,K1A,2021A0011K1A,657,594,,416,,363,
2021,K1B,2021A0011K1B,658,17769,,6866,,6707,
2021,K1C,2021A0011K1C,659,37235,,14312,,14101,
2021,K1E,2021A0011K1E,660,14508,,5863,,5787,
2021,K1G,2021A0011K1G,661,35074,,15333,,14705,
2021,K1H,2021A0011K1H,662,16306,,7289,,7008,
2021,K1J,2021A0011K1J,663,28268,,11423,,11107,
2021,K1K,2021A0011K1K,664,32046,,15235,,14445,
2021,K1L,2021A0011K1L,665,18213,,10797,,9705,
2021,K1M,2021A0011K1M,666,6764,,3341,,3050,
2021,K1N,2021A0011K1N,667,26639,,17122,,14475,
2021,K1P,2021A0011K1P,668,645,,568,,441,
2021,K1R,2021A0011K1R,669,20343,,12836,,11580,
2021,K1S,2021A0011K1S,670,31257,,15662,,14390,
2021,K1T,2021A0011K1T,671,40054,,13967,,13649,
2021,K1V,2021A0011K1V,672,57157,,23359,,22092,
2021,K1W,2021A0011K1W,673,13825,,4730,,4634,
2021,K1X,2021A0011K1X,674,4594,,1575,,1536,
2021,K1Y,2021A0011K1Y,675,20712,,10737,,10123,
2021,K1Z,2021A0011K1Z,676,22714,,11642,,10791,
2021,K2A,2021A0011K2A,677,17156,,7738,,7491,
2021,K2B,2021A0011K2B,678,33254,,15737,,15034,
2021,K2C,2021A0011K2C,679,29359,,13056,,12395,
2021,K2E,2021A0011K2E,680,20172,,8461,,8129,
2021,K2G,2021A0011K2G,681,50692,,18451,,17934,
2021,K2H,2021A0011K2H,682,26759,,11530,,10950,
2021,K2J,2021A0011K2J,683,81863,,27759,,27343,
2021,K2K,2021A0011K2K,684,24922,,9716,,9451,
2021,K2L,2021A0011K2L,685,18739,,7309,,7199,
2021,K2M,2021A0011K2M,686,28708,,10069,,9954,
2021,K2P,2021A0011K2P,687,18825,,14113,,12550,
2021,K2R,2021A0011K2R,688,1237,,424,,415,
2021,K2S,2021A0011K2S,689,38903,,13924,,13709,
2021,K2T,2021A0011K2T,690,11871,,4064,,3959,
2021,K2V,2021A0011K2V,691,10486,,3637,,3508,
2021,K2W,2021A0011K2W,692,8553,,2665,,2630,
2021,K4A,2021A0011K4A,693,62125,,22000,,21481,
2021,K4B,2021A0011K4B,694,4704,,1741,,1702,
2021,K4C,2021A0011K4C,695,4538,,1636,,1599,
2021,K4K,2021A0011K4K,696,16958,,6763,,6610,
2021,K4M,2021A0011K4M,697,14380,,5393,,5221,
2021,K4P,2021A0011K4P,698,10448,,3551,,3499,
2021,K4R,2021A0011K4R,699,8740,,3220,,3179,
2021,K6A,2021A0011K6A,700,12529,,6325,,6066,
2021,K6H,2021A0011K6H,701,30440,,14112,,13512,
2021,K6J,2021A0011K6J,702,17827,,8263,,7982,
2021,K6K,2021A0011K6K,703,3452,,1414,,1396,
2021,K6T,2021A0011K6T,704,690,,264,,261,
2021,K6V,2021A0011K6V,705,28174,,13705,,13099,
2021,K7A,2021A0011K7A,706,17575,,7814,,7530,
2021,K7C,2021A0011K7C,707,20382,,8631,,8247,
2021,K7G,2021A0011K7G,708,8740,,4305,,3924,
2021,K7H,2021A0011K7H,709,16175,,8360,,7138,
2021,K7K,2021A0011K7K,710,33705,,16786,,15480,
2021,K7L,2021A0011K7L,711,19621,,12191,,9408,
2021,K7M,2021A0011K7M,712,49268,,22585,,21679,
2021,K7N,2021A0011K7N,713,8395,,3411,,3278,
2021,K7P,2021A0011K7P,714,24660,,9538,,9324,
2021,K7R,2021A0011K7R,715,15480,,6845,,6341,
2021,K7S,2021A0011K7S,716,14265,,6399,,6180,
2021,K7V,2021A0011K7V,717,13943,,6881,,6287,
2021,K8A,2021A0011K8A,718,26392,,11919,,11283,
2021,K8B,2021A0011K8B,719,490,,176,,174,
2021,K8H,2021A0011K8H,720,16188,,6342,,5982,
2021,K8N,2021A0011K8N,721,30393,,13782,,13244,
2021,K8P,2021A0011K8P,722,23166,,10592,,10043,
2021,K8R,2021A0011K8R,723,2012,,791,,768,
2021,K8V,2021A0011K8V,724,28936,,12523,,12091,
2021,K9A,2021A0011K9A,725,26757,,11937,,11491,
2021,K9H,2021A0011K9H,726,29704,,14391,,13453,
2021,K9J,2021A0011K9J,727,44547,,19998,,18885,
2021,K9K,2021A0011K9K,728,13359,,5226,,5063,
2021,K9L,2021A0011K9L,729,7813,,3099,,3000,
2021,K9V,2021A0011K9V,730,29369,,12949,,12222,
2021,L0A,2021A0011L0A,731,15325,,5729,,5494,
2021,L0B,2021A0011L0B,732,15501,,6072,,5733,
2021,L0C,2021A0011L0C,733,9486,,3537,,3381,
2021,L0E,2021A0011L0E,734,21898,,10072,,8638,
2021,L0G,2021A0011L0G,735,44945,,15980,,15514,
2021,L0H,2021A0011L0H,736,1223,,465,,436,
2021,L0J,2021A0011L0J,737,4945,,1529,,1456,
2021,L0K,2021A0011L0K,738,38386,,22207,,15846,
2021,L0L,2021A0011L0L,739,42022,,19252,,15670,
2021,L0M,2021A0011L0M,740,37226,,14086,,13274,
2021,L0N,2021A0011L0N,741,2395,,894,,829,
2021,L0P,2021A0011L0P,742,7779,,2777,,2649,
2021,L0R,2021A0011L0R,743,83602,,29717,,29066,
2021,L0S,2021A0011L0S,744,60409,,28128,,24552,
2021,L1A,2021A0011L1A,745,15845,,7030,,6777,
2021,L1B,2021A0011L1B,746,13203,,5280,,5132,
2021,L1C,2021A0011L1C,747,50217,,18207,,17719,
2021,L1E,2021A0011L1E,748,28325,,9806,,9637,
2021,L1G,2021A0011L1G,749,43497,,19291,,18541,
2021,L1H,2021A0011L1H,750,32298,,14480,,13686,
2021,L1J,2021A0011L1J,751,43107,,17776,,17154,
2021,L1K,2021A0011L1K,752,43574,,13824,,13519,
2021,L1L,2021A0011L1L,753,12976,,3986,,3766,
2021,L1M,2021A0011L1M,754,22542,,6992,,6899,
2021,L1N,2021A0011L1N,755,49649,,19596,,19117,
2021,L1P,2021A0011L1P,756,22928,,7132,,6957,
2021,L1R,2021A0011L1R,757,42221,,13260,,13098,
2021,L1S,2021A0011L1S,758,42045,,16037,,15664,
2021,L1T,2021A0011L1T,759,52632,,15281,,14986,
2021,L1V,2021A0011L1V,760,52787,,18257,,17835,
2021,L1W,2021A0011L1W,761,18433,,7323,,7091,
2021,L1X,2021A0011L1X,762,24639,,7516,,7333,
2021,L1Y,2021A0011L1Y,763,1976,,730,,693,
2021,L1Z,2021A0011L1Z,764,31989,,8957,,8838,
2021,L2A,2021A0011L2A,765,17293,,7783,,7277,
2021,L2E,2021A0011L2E,766,18587,,9017,,8340,
2021,L2G,2021A0011L2G,767,30344,,13412,,12531,
2021,L2H,2021A0011L2H,768,29820,,10594,,10340,
2021,L2J,2021A0011L2J,769,14908,,6369,,6206,
2021,L2M,2021A0011L2M,770,33704,,14869,,14443,
2021,L2N,2021A0011L2N,771,30719,,13827,,13244,
2021,L2P,2021A0011L2P,772,15128,,6706,,6432,
2021,L2R,2021A0011L2R,773,25558,,13117,,12003,
2021,L2S,2021A0011L2S,774,19400,,7837,,7586,
2021,L2T,2021A0011L2T,775,11401,,5309,,4876,
2021,L2V,2021A0011L2V,776,19795,,8400,,7738,
2021,L2W,2021A0011L2W,777,1959,,686,,677,
2021,L3B,2021A0011L3B,778,25869,,11617,,11047,
2021,L3C,2021A0011L3C,779,33462,,14273,,13870,
2021,L3K,2021A0011L3K,780,19458,,9086,,8481,
2021,L3L,2021A0011L3L,781,879,,257,,242,
2021,L3M,2021A0011L3M,782,28433,,11465,,11237,
2021,L3P,2021A0011L3P,783,37336,,12978,,12631,
2021,L3R,2021A0011L3R,784,62060,,21994,,21099,
2021,L3S,2021A0011L3S,785,55403,,15734,,14976,
2021,L3T,2021A0011L3T,786,50405,,20672,,19869,
2021,L3V,2021A0011L3V,787,48651,,22293,,20346,
2021,L3X,2021A0011L3X,788,45284,,14261,,13946,
2021,L3Y,2021A0011L3Y,789,43556,,17365,,16709,
2021,L3Z,2021A0011L3Z,790,41072,,13290,,12821,
2021,L4A,2021A0011L4A,791,50389,,17366,,16906,
2021,L4B,2021A0011L4B,792,36080,,13301,,12878,
2021,L4C,2021A0011L4C,793,74636,,30129,,28600,
2021,L4E,2021A0011L4E,794,54606,,17103,,16620,
2021,L4G,2021A0011L4G,795,62061,,22255,,21508,
2021,L4H,2021A0011L4H,796,77353,,22218,,21863,
2021,L4J,2021A0011L4J,797,75120,,26995,,26252,
2021,L4K,2021A0011L4K,798,20172,,8679,,7764,
2021,L4L,2021A0011L4L,799,55426,,20428,,19845,
2021,L4M,2021A0011L4M,800,46902,,19372,,18401,
2021,L4N,2021A0011L4N,801,100835,,37801,,36749,
2021,L4P,2021A0011L4P,802,29861,,11365,,10817,
2021,L4R,2021A0011L4R,803,19245,,8901,,8428,
2021,L4S,2021A0011L4S,804,36688,,11480,,11212,
2021,L4T,2021A0011L4T,805,38182,,12302,,11437,
2021,L4V,2021A0011L4V,806,5,,1,,1,
2021,L4W,2021A0011L4W,807,19744,,7358,,7150,
2021,L4X,2021A0011L4X,808,18719,,7074,,6769,
2021,L4Y,2021A0011L4Y,809,23490,,9118,,8863,
2021,L4Z,2021A0011L4Z,810,37218,,13241,,12815,
2021,L5A,2021A0011L5A,811,47406,,18817,,18132,
2021,L5B,2021A0011L5B,812,67131,,29048,,27315,
2021,L5C,2021A0011L5C,813,29284,,10210,,9880,
2021,L5E,2021A0011L5E,814,12972,,5539,,5315,
2021,L5G,2021A0011L5G,815,20714,,9226,,8719,
2021,L5H,2021A0011L5H,816,17409,,6541,,6272,
2021,L5J,2021A0011L5J,817,28208,,10960,,10655,
2021,L5K,2021A0011L5K,818,13363,,4732,,4587,
2021,L5L,2021A0011L5L,819,43585,,15694,,15207,
2021,L5M,2021A0011L5M,820,106468,,33246,,32267,
2021,L5N,2021A0011L5N,821,83700,,27101,,26553,
2021,L5R,2021A0011L5R,822,37022,,13438,,12691,
2021,L5S,2021A0011L5S,823,27,,6,,4,
2021,L5T,2021A0011L5T,824,19,,5,,5,
2021,L5V,2021A0011L5V,825,49149,,13962,,13631,
2021,L5W,2021A0011L5W,826,24145,,6470,,6307,
2021,L6A,2021A0011L6A,827,89287,,27080,,26517,
2021,L6B,2021A0011L6B,828,34763,,10373,,10137,
2021,L6C,2021A0011L6C,829,51738,,16291,,15918,
2021,L6E,2021A0011L6E,830,38387,,11924,,11696,
2021,L6G,2021A0011L6G,831,8364,,4916,,4521,
2021,L6H,2021A0011L6H,832,72662,,25860,,24806,
2021,L6J,2021A0011L6J,833,24420,,8656,,8357,
2021,L6K,2021A0011L6K,834,14118,,6598,,6258,
2021,L6L,2021A0011L6L,835,30012,,11714,,11293,
2021,L6M,2021A0011L6M,836,72547,,23351,,22844,
2021,L6P,2021A0011L6P,837,91155,,21549,,20994,
2021,L6R,2021A0011L6R,838,93783,,23902,,23263,
2021,L6S,2021A0011L6S,839,54361,,17297,,16844,
2021,L6T,2021A0011L6T,840,39614,,14127,,13595,
2021,L6V,2021A0011L6V,841,42392,,14632,,13902,
2021,L6W,2021A0011L6W,842,23547,,8735,,8305,
2021,L6X,2021A0011L6X,843,76113,,21772,,20935,
2021,L6Y,2021A0011L6Y,844,97601,,28798,,27587,
2021,L6Z,2021A0011L6Z,845,33888,,10472,,10083,
2021,L7A,2021A0011L7A,846,104009,,27796,,26958,
2021,L7B,2021A0011L7B,847,17809,,5790,,5570,
2021,L7C,2021A0011L7C,848,33846,,9967,,9567,
2021,L7E,2021A0011L7E,849,34516,,11754,,11292,
2021,L7G,2021A0011L7G,850,48051,,16847,,16558,
2021,L7J,2021A0011L7J,851,13766,,5110,,4999,
2021,L7K,2021A0011L7K,852,8486,,3164,,2928,
2021,L7L,2021A0011L7L,853,47433,,17852,,17521,
2021,L7M,2021A0011L7M,854,48498,,17184,,16929,
2021,L7N,2021A0011L7N,855,13160,,5469,,5381,
2021,L7P,2021A0011L7P,856,29777,,11060,,10874,
2021,L7R,2021A0011L7R,857,17338,,8675,,8303,
2021,L7S,2021A0011L7S,858,12207,,6368,,6167,
2021,L7T,2021A0011L7T,859,18555,,8287,,8012,
2021,L8B,2021A0011L8B,860,25778,,9053,,8902,
2021,L8E,2021A0011L8E,861,41927,,15736,,15316,
2021,L8G,2021A0011L8G,862,21805,,9518,,9313,
2021,L8H,2021A0011L8H,863,26187,,11792,,11242,
2021,L8J,2021A0011L8J,864,29146,,9465,,9304,
2021,L8K,2021A0011L8K,865,32598,,14405,,13941,
2021,L8L,2021A0011L8L,866,32312,,14444,,13112,
2021,L8M,2021A0011L8M,867,13774,,7096,,6381,
2021,L8N,2021A0011L8N,868,15568,,8630,,7670,
2021,L8P,2021A0011L8P,869,24773,,14969,,13561,
2021,L8R,2021A0011L8R,870,11651,,6113,,5600,
2021,L8S,2021A0011L8S,871,15787,,8714,,7186,
2021,L8T,2021A0011L8T,872,19405,,7948,,7779,
2021,L8V,2021A0011L8V,873,21165,,9662,,9355,
2021,L8W,2021A0011L8W,874,26077,,8612,,8495,
2021,L9A,2021A0011L9A,875,25899,,10346,,10117,
2021,L9B,2021A0011L9B,876,25025,,8461,,8338,
2021,L9C,2021A0011L9C,877,41202,,15123,,14732,
2021,L9E,2021A0011L9E,878,16933,,5075,,4881,
2021,L9G,2021A0011L9G,879,25020,,9180,,8974,
2021,L9H,2021A0011L9H,880,31221,,12828,,12509,
2021,L9J,2021A0011L9J,881,2272,,1138,,1062,
2021,L9K,2021A0011L9K,882,15928,,5138,,4972,
2021,L9L,2021A0011L9L,883,14620,,5910,,5644,
2021,L9M,2021A0011L9M,884,16607,,9066,,6660,
2021,L9N,2021A0011L9N,885,21656,,7297,,7035,
2021,L9P,2021A0011L9P,886,17383,,6770,,6522,
2021,L9R,2021A0011L9R,887,25949,,9929,,9648,
2021,L9S,2021A0011L9S,888,33434,,13557,,12132,
2021,L9T,2021A0011L9T,889,110956,,34110,,33406,
2021,L9V,2021A0011L9V,890,17750,,6657,,6111,
2021,L9W,2021A0011L9W,891,48790,,17840,,17309,
2021,L9X,2021A0011L9X,892,12896,,4326,,4237,
2021,L9Y,2021A0011L9Y,893,28925,,17262,,13077,
2021,L9Z,2021A0011L9Z,894,24849,,13761,,10805,
2021,M1B,2021A0011M1B,895,65555,,21561,,20563,
2021,M1C,2021A0011M1C,896,35642,,11724,,11396,
2021,M1E,2021A0011M1E,897,48033,,18085,,17320,
2021,M1G,2021A0011M1G,898,30894,,10791,,10313,
2021,M1H,2021A0011M1H,899,23964,,9021,,8632,
2021,M1J,2021A0011M1J,900,37002,,13253,,12633,
2021,M1K,2021A0011M1K,901,48175,,18687,,17709,
2021,M1L,2021A0011M1L,902,35833,,13177,,12559,
2021,M1M,2021A0011M1M,903,23258,,9067,,8641,
2021,M1N,2021A0011M1N,904,22976,,10056,,9521,
2021,M1P,2021A0011M1P,905,45170,,17308,,16491,
2021,M1R,2021A0011M1R,906,30467,,11476,,10919,
2021,M1S,2021A0011M1S,907,37663,,14021,,13328,
2021,M1T,2021A0011M1T,908,34607,,13826,,13232,
2021,M1V,2021A0011M1V,909,50825,,16556,,15962,
2021,M1W,2021A0011M1W,910,47070,,17294,,16735,
2021,M1X,2021A0011M1X,911,14810,,3808,,3720,
2021,M2H,2021A0011M2H,912,23396,,8953,,8560,
