filed_by,orders,terminated_voidable,terminated,money_only,remedy_ordered,dismissed,withdrawn,other,on_consent,any_termination,voidable_share_of_terminations
landlord,4973,22.6,25.5,18.9,0.5,7.1,1.4,24.0,22.6,48.1,47.0
tenant,759,0.0,4.6,6.1,19.5,43.9,7.8,18.2,16.1,4.6,0.0
