category,population,sample_n,found_rate,sample_mean,estimated_total
L1,20162,10.0,0.7,4188.55,59114681.57
L4,5158,10.0,0.7,4892.38,17664427.228
L2,5247,10.0,0.5,1611.56,4227927.66
T6,1079,10.0,0.5,2230.24,1203214.48
T1,1041,10.0,0.6,905.26,565425.3960000001
T2,2200,10.0,0.1,1801.87,396411.39999999997
