category,count_total,count_with_amount,found_rate,min,max,median,mean
L1,10,7,0.7,845.48,9486.74,3221.0,4188.55
L2,10,5,0.5,186.0,3139.75,1782.58,1611.56
L4,10,7,0.7,0.0,12789.06,2886.09,4892.38
T2,10,1,0.1,1801.87,1801.87,1801.87,1801.87
T6,10,5,0.5,600.0,4011.48,2400.0,2230.24
T1,10,6,0.6,153.0,1932.53,824.0,905.26
