fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
K7R,36,32,4,0,13,9,8,3,1,0,15480.0,23.26,20.67,2.58
N1G,69,45,21,3,25,10,2,2,1,3,29688.0,23.24,15.16,7.07
L2S,45,37,7,1,22,9,4,1,0,0,19400.0,23.2,19.07,3.61
L9Y,67,54,13,0,24,13,11,3,2,1,28925.0,23.16,18.67,4.49
K2V,24,19,5,0,16,2,0,0,1,1,10486.0,22.89,18.12,4.77
M2N,171,134,37,0,63,31,19,15,2,10,75100.0,22.77,17.84,4.93
N4G,49,43,4,2,27,5,6,3,1,0,21519.0,22.77,19.98,1.86
N6E,64,57,7,0,37,9,10,1,2,2,28140.0,22.74,20.26,2.49
P0K,26,24,2,0,18,3,3,2,0,0,11456.0,22.7,20.95,1.75
L7T,42,36,6,0,20,4,6,2,1,1,18555.0,22.64,19.4,3.23
M1B,148,110,12,26,68,19,13,2,2,3,65555.0,22.58,16.78,1.83
P3L,18,16,2,0,8,4,2,1,0,0,7996.0,22.51,20.01,2.5
L5L,98,88,9,1,67,5,13,3,1,1,43585.0,22.48,20.19,2.06
P2A,33,26,7,0,13,5,4,3,1,0,14695.0,22.46,17.69,4.76
P7A,64,48,15,1,23,14,6,6,0,4,28587.0,22.39,16.79,5.25
M4E,57,50,5,2,26,15,3,2,0,0,25473.0,22.38,19.63,1.96
L4Z,83,58,16,9,38,6,8,8,5,2,37218.0,22.3,15.58,4.3
N3P,19,18,1,0,11,2,3,1,0,0,8542.0,22.24,21.07,1.17
M5C,7,3,2,2,2,1,0,2,0,0,3149.0,22.23,9.53,6.35
L6Y,217,186,26,5,126,19,19,15,3,4,97601.0,22.23,19.06,2.66
M6G,68,46,22,0,13,18,6,8,2,5,30600.0,22.22,15.03,7.19
N8M,26,22,4,0,5,9,8,1,2,0,11819.0,22.0,18.61,3.38
L2A,38,31,6,1,22,1,2,4,0,0,17293.0,21.97,17.93,3.47
K9K,29,26,3,0,20,3,2,1,0,0,13359.0,21.71,19.46,2.25
L9N,47,40,7,0,17,8,7,4,0,2,21656.0,21.7,18.47,3.23
P4P,7,4,1,2,0,1,3,1,0,0,3232.0,21.66,12.38,3.09
P1P,24,16,6,2,12,2,1,0,1,3,11083.0,21.65,14.44,5.41
N3E,6,4,2,0,3,1,0,0,1,0,2802.0,21.41,14.28,7.14
M9L,25,17,8,0,7,5,2,3,3,1,11737.0,21.3,14.48,6.82
L6H,153,127,26,0,76,21,12,9,3,6,72662.0,21.06,17.48,3.58
M1V,107,95,12,0,77,6,9,4,0,5,50825.0,21.05,18.69,2.36
N5C,33,26,3,4,16,2,5,1,1,1,15721.0,20.99,16.54,1.91
K2K,52,34,15,3,14,6,2,4,7,1,24922.0,20.87,13.64,6.02
N6K,78,69,9,0,48,2,14,3,2,1,37596.0,20.75,18.35,2.39
P5N,17,14,3,0,9,4,1,1,0,0,8260.0,20.58,16.95,3.63
M4J,72,51,21,0,23,16,6,12,4,3,35128.0,20.5,14.52,5.98
L6X,156,132,21,3,76,18,18,7,2,6,76113.0,20.5,17.34,2.76
N4T,31,27,3,1,10,0,4,2,0,0,15161.0,20.45,17.81,1.98
L1S,86,69,17,0,42,12,8,3,5,2,42045.0,20.45,16.41,4.04
L6S,111,102,9,0,62,8,20,4,1,1,54361.0,20.42,18.76,1.66
M2L,23,21,2,0,12,5,3,0,1,0,11274.0,20.4,18.63,1.77
K6K,7,7,0,0,0,3,4,0,0,0,3452.0,20.28,20.28,0.0
N6P,22,21,1,0,15,3,0,0,0,0,10943.0,20.1,19.19,0.91
L7N,26,24,2,0,19,2,3,1,0,0,13160.0,19.76,18.24,1.52
N5X,73,57,16,0,46,5,1,6,3,5,36963.0,19.75,15.42,4.33
L9S,66,56,10,0,38,9,5,1,4,1,33434.0,19.74,16.75,2.99
L0E,43,34,9,0,17,5,9,4,0,0,21898.0,19.64,15.53,4.11
P0M,97,74,22,1,38,18,7,9,3,0,49727.0,19.51,14.88,4.42
N1M,36,32,4,0,19,6,5,1,1,0,18498.0,19.46,17.3,2.16
K0E,77,62,15,0,34,13,13,6,4,1,39649.0,19.42,15.64,3.78
L3T,97,81,16,0,44,13,17,5,2,4,50405.0,19.24,16.07,3.17
K1M,13,7,6,0,4,2,0,2,2,1,6764.0,19.22,10.35,8.87
N3V,3,3,0,0,3,0,0,0,0,0,1562.0,19.21,19.21,0.0
L5C,56,43,11,2,29,7,4,3,4,0,29284.0,19.12,14.68,3.76
K9A,51,42,9,0,18,9,7,5,3,0,26757.0,19.06,15.7,3.36
K8A,50,39,11,0,21,10,5,5,1,1,26392.0,18.95,14.78,4.17
N7V,22,17,5,0,9,3,3,2,2,0,11611.0,18.95,14.64,4.31
L5R,70,60,10,0,34,8,10,1,2,2,37022.0,18.91,16.21,2.7
N2A,60,46,14,0,30,3,4,5,1,2,32454.0,18.49,14.17,4.31
L1V,97,80,15,2,50,11,8,4,3,4,52787.0,18.38,15.16,2.84
L1C,92,69,20,3,39,11,15,12,2,2,50217.0,18.32,13.74,3.98
K4K,31,24,7,0,11,7,2,1,0,0,16958.0,18.28,14.15,4.13
K7S,26,22,4,0,12,4,3,2,0,1,14265.0,18.23,15.42,2.8
M8Z,35,25,10,0,9,8,0,5,0,4,19312.0,18.12,12.95,5.18
K7V,25,18,7,0,11,6,1,3,3,0,13943.0,17.93,12.91,5.02
M3B,23,22,1,0,8,6,2,1,0,0,12880.0,17.86,17.08,0.78
K7P,44,36,8,0,20,5,5,3,1,2,24660.0,17.84,14.6,3.24
L9H,55,45,10,0,37,5,2,2,1,0,31221.0,17.62,14.41,3.2
K2G,89,73,16,0,50,8,7,7,1,2,50692.0,17.56,14.4,3.16
N1A,22,19,3,0,8,7,3,0,0,1,12614.0,17.44,15.06,2.38
N1E,78,60,16,2,28,16,8,3,3,3,44799.0,17.41,13.39,3.57
N1L,30,22,8,0,5,4,8,3,0,2,17474.0,17.17,12.59,4.58
P1H,31,26,5,0,7,6,8,2,1,1,18099.0,17.13,14.37,2.76
N4X,17,7,6,4,1,5,1,4,2,0,9946.0,17.09,7.04,6.03
P0T,54,51,3,0,33,9,4,2,1,0,32000.0,16.88,15.94,0.94
L9M,28,25,3,0,12,6,5,1,1,0,16607.0,16.86,15.05,1.81
M1C,60,53,5,2,16,18,7,1,0,1,35642.0,16.83,14.87,1.4
L2J,25,19,6,0,13,2,3,1,1,3,14908.0,16.77,12.74,4.02
L0N,4,3,1,0,3,0,0,1,0,0,2395.0,16.7,12.53,4.18
K7C,34,31,3,0,12,4,9,1,1,0,20382.0,16.68,15.21,1.47
N3Y,39,33,6,0,24,5,1,6,0,0,23402.0,16.67,14.1,2.56
L9E,28,26,2,0,12,4,1,1,0,0,16933.0,16.54,15.35,1.18
N8R,21,18,3,0,10,2,2,1,1,1,12733.0,16.49,14.14,2.36
N2R,30,23,7,0,11,2,3,0,1,3,18445.0,16.26,12.47,3.8
L7A,169,139,30,0,74,20,10,10,4,6,104009.0,16.25,13.36,2.88
L9C,66,48,12,6,25,6,10,6,1,3,41202.0,16.02,11.65,2.91
N0C,28,22,6,0,16,0,3,3,0,0,17537.0,15.97,12.54,3.42
M1S,60,51,9,0,31,7,7,3,1,1,37663.0,15.93,13.54,2.39
L6L,47,40,7,0,22,5,11,2,0,1,30012.0,15.66,13.33,2.33
N1K,17,14,3,0,9,3,1,2,0,1,10908.0,15.58,12.83,2.75
N7G,31,27,4,0,15,4,5,2,2,0,19921.0,15.56,13.55,2.01
M1W,73,60,13,0,46,9,2,4,0,5,47070.0,15.51,12.75,2.76
N5R,47,38,9,0,24,7,6,4,2,1,30680.0,15.32,12.39,2.93
N3L,27,21,6,0,9,2,3,1,1,1,17676.0,15.27,11.88,3.39
N6M,13,10,3,0,2,0,3,2,0,1,8542.0,15.22,11.71,3.51
L4E,83,60,23,0,28,20,4,8,1,6,54606.0,15.2,10.99,4.21
N3W,24,23,1,0,10,5,2,0,0,0,15805.0,15.19,14.55,0.63
N0P,80,67,13,0,26,20,12,5,3,3,53140.0,15.05,12.61,2.45
N8H,41,34,4,3,22,3,5,2,1,0,27530.0,14.89,12.35,1.45
K7H,24,20,4,0,7,8,3,3,1,0,16175.0,14.84,12.36,2.47
P4R,7,7,0,0,2,2,0,0,0,0,4795.0,14.6,14.6,0.0
N2Z,18,16,2,0,7,4,2,0,0,2,12341.0,14.59,12.96,1.62
P1L,26,23,3,0,8,8,4,1,1,0,17984.0,14.46,12.79,1.67
P3G,6,5,1,0,0,3,0,1,0,0,4167.0,14.4,12.0,2.4
L2N,44,34,8,2,18,6,5,5,1,1,30719.0,14.32,11.07,2.6
K0B,30,23,7,0,11,10,0,3,1,1,21020.0,14.27,10.94,3.33
N0G,124,107,17,0,58,20,18,4,6,0,86935.0,14.26,12.31,1.96
N3C,39,24,15,0,15,5,2,0,4,3,27518.0,14.17,8.72,5.45
M8X,15,12,3,0,7,3,1,0,0,2,10624.0,14.12,11.3,2.82
