csduid,name,population
3552026,Espanola,5185
3515030,Havelock-Belmont-Methuen,5083
3534042,West Elgin,5060
3540055,North Huron,5052
3512020,Stirling-Rawdon,5015
3548034,East Ferris,4946
3510035,Central Frontenac,4892
3534024,Southwold,4851
3512026,Centre Hastings,4801
3556076,Hearst,4794
3515003,Asphodel-Norwood,4658
3512001,Tyendinaga,4538
3556031,Iroquois Falls,4418
3541069,Northern Bruce Peninsula,4404
3512076,Hastings Highlands,4385
3522008,Amaranth,4327
3558075,Greenstone,4309
3512046,Marmora and Lake,4267
3547096,Deep River,4175
3534030,Dutton/Dunwich,4152
3560042,Red Lake,4094
3507008,Prescott,4078
3512061,Bancroft,4065
3540046,Howick,4045
3549066,Callander,3964
3502044,Casselman,3960
3547030,Madawaska Valley,3927
3509001,Montague,3914
3547035,Bonnechere Valley,3898
3522010,Grand Valley,3851
3546005,Highlands East,3830
3531013,Perth South,3776
3544027,Lake of Bays,3759
3538043,Warwick,3641
3540050,Morris-Turnberry,3590
3522016,Mulmur,3571
3544065,Georgian Bay,3441
3557038,Blind River,3422
3502001,East Hawkesbury,3418
3549060,Powassan,3346
3558028,Shuniah,3247
3552023,Sables-Spanish Rivers,3237
3554094,"Timiskaming, Unorganized, West Part",3210
3547046,Horton,3182
3558059,Marathon,3138
3507052,Merrickville-Wolford,3135
3522019,Melancthon,3132
3547070,North Algona Wilberforce,3111
3507042,Athens,3042
3539047,Adelaide-Metcalfe,3011
3547043,Admaston/Bromley,2995
3552093,"Sudbury, Unorganized, North Part",2902
3547090,Laurentian Hills,2885
3515037,North Kawartha,2877
3547008,Greater Madawaska,2864
3552001,French River / Rivière des Français,2828
3538016,Enniskillen,2825
3522001,East Garafraxa,2794
3549031,McDougall,2744
3551043,Wikwemikong Unceded,2728
3552013,Markstay-Warren,2708
3557076,Wawa,2705
3549014,Perry,2650
3559001,Atikokan,2642
3551017,Northeastern Manitoulin and the Islands,2641
3507017,Front of Yonge,2595
3546018,Algonquin Highlands,2588
3556014,Black River-Matheson,2572
3556092,"Cochrane, Unorganized, North Part",2546
3512004,Tyendinaga Mohawk Territory,2535
3511035,Addington Highlands,2534
3549096,"Parry Sound, Unorganized, Centre Part",2495
3547033,"Killaloe, Hagarty and Richards",2410
3538015,Brooke-Alvinston,2359
3510045,North Frontenac,2285
3558001,Neebing,2241
3551006,Central Manitoulin,2235
3512036,Madoc,2233
3548027,Bonfield,2146
3560071,Sandy Lake 88,2100
3558066,Manitouwadge,1974
3538007,Dawn-Euphemia,1968
3552092,Chapleau,1942
3538031,Point Edward,1930
3510005,Frontenac Islands,1930
3548021,Mattawa,1881
3557035,Huron Shores,1860
3549071,Nipissing,1769
3549043,Magnetawan,1753
3512002,Deseronto,1747
3548073,Nipissing 10,1640
3512058,Faraday,1612
3548094,"Nipissing, Unorganized, North Part",1591
3560051,Attawapiskat 91A,1586
3549046,Strong,1566
3547020,"Brudenell, Lyndoch and Raglan",1552
3558054,Terrace Bay,1528
3557051,"Macdonald, Meredith and Aberdeen Additional",1513
3556106,Moosonee,1512
3549036,Carling,1491
3558044,Nipigon,1473
3549019,Armour,1459
3554052,Englehart,1442
3557008,St. Joseph,1426
3559090,"Rainy River, Unorganized",1423
3549028,McKellar,1419
3556094,Factory Island 1,1376
3552004,St.-Charles,1357
3548031,Chisholm,1312
3557028,Thessalon,1260
3515019,Curve Lake First Nation 35,1244
3538056,Kettle Point 44,1233
3560001,Ignace,1206
3559019,Emo,1204
3556048,Smooth Rock Falls,1200
3554036,Armstrong,1199
3556056,Moonbeam,1157
3557011,Laird,1121
3557071,Sagamok,1110
3549056,South River,1101
3560070,Deer Lake,1087
3549039,Whitestone,1075
3557074,Garden River 14,1071
3560096,Kasabonika Lake,1060
3548001,South Algonquin,1055
3558051,Schreiber,1039
3560075,Kitchenuhmaykoosib Aaki 84,1029
3560056,Lac Seul 28,1022
3560021,Machin,1012
3551011,Assiginack,1008
3543050,Chippewas of Rama First Nation,998
3554008,Cobalt,989
3548013,Papineau-Cameron,982
3549005,The Archipelago,979
3560053,Fort Hope 64,977
3557066,Prince,975
3549018,Kearney,974
3549054,Machar,969
3557096,Hornepayne,968
3558003,Fort William 52,964
3549022,Burk's Falls,957
3559011,Alberton,954
3512065,Carlow/Mayo,953
3549048,Sundridge,938
3551045,M'Chigeeng 22,926
3560032,Ear Falls,924
3560059,Weagamow Lake 87,921
3549012,McMurrich/Monteith,907
3558041,Red Rock,895
3548069,Temagami,862
3560061,Wabaseemoong,815
3551026,Gore Bay,808
3558019,Conmee,798
3559016,La Vallee,788
3541057,Saugeen 29,784
3556093,Fort Albany (Part) 67,775
3559024,Chapple,763
3557019,Plummer Additional,757
3556070,Val Rita-Harty,757
3551021,Billings,753
3559042,Rainy River,752
3557016,Johnson,749
3554062,Larder Lake,745
3549024,Ryerson,745
3556095,Constance Lake 92,741
3512048,Tudor and Cashel,740
3560008,Sioux Narrows-Nestor Falls,727
3560079,Webequie,723
3512054,Wollaston,721
3558016,O'Connor,689
3554044,Charlton and Dack,686
3543069,Christian Island 30,679
3557039,Spanish,670
3560067,Poplar Hill,663
3560054,Cat Lake 63C,651
3538025,Sarnia 45,648
3538018,Oil Springs,647
3507033,Westport,634
3559063,Couchiching 16A,633
3551027,Gordon/Barrie Island,613
3560004,Whitefish Bay 32A,610
3529021,New Credit (Part) 40A,609
3560076,Sachigo Lake 1,608
3560085,Wunnumin 1,587
3560058,English River 21,584
3557021,Bruce Mines,582
3541060,Neyaashiinigmiing 27,580
3554058,McGarry,579
3552028,Baldwin,579
3557079,Dubreuilville,576
3557014,Tarbutt and Tarbutt Additional,573
3557091,White River,557
3548022,Calvin,557
3556077,Mattice-Val Côté,542
3514027,Alderville First Nation,542
3557040,The North Shore,531
3554021,Hudson,530
3554014,Harris,530
3554026,Harley,524
3560055,Osnaburgh 63B,524
3554001,Coleman,517
3560098,Kingfisher Lake 1,511
3554049,Evanturel,502
3559031,Morley,493
3547037,Pikwakanagan (Golden Lake 39),490
3556052,Fauquier-Strickland,467
3551040,Whitefish River 4,457
3560088,Wapekeka 2,456
3551001,Tehkummah,450
3560095,Bearskin Lake,447
3560068,Shoal Lake 39A,445
3558012,Gillies,441
3539002,Newbury,440
3512051,Limerick,436
3557073,Mississagi River 8,414
3552051,Whitefish Lake 6,412
3558068,Long Lake 58,410
3560104,Kee-Way-Win,409
3560066,Kenora 38B,402
3559040,Dawson,399
3560049,Pickle Lake,398
3552036,Killarney,397
