fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
P0J,20179,8765,6790,1975,22.53,72500,65000,1955,24.3,31.7,22.3,800,820,13.6
P0K,11456,5100,4075,960,18.82,75000,67000,955,24.1,28.4,22.2,750,748,12
P0L,22859,9175,5885,2390,26.05,77500,70000,2250,26.2,22.7,13.7,730,803,12.4
P0M,49727,21240,16740,4225,19.89,86000,76000,4180,13.9,28,17.5,930,977,13.6
P0N,9435,3995,3055,935,23.4,90000,78000,935,16.6,30.5,20.7,880,894,11.9
P0P,20285,8800,6210,1365,15.51,64000,59600,1185,24.5,31.6,33.5,900,880,16.5
P0R,12976,5800,4705,970,16.72,68500,62800,955,26.7,31.1,29.3,730,734,12.9
P0S,10170,4440,3930,460,10.36,85000,74000,460,23.9,22.8,19.8,705,760,10.7
P0T,32000,13500,10270,1995,14.78,77000,69000,1960,24.7,20.5,15.2,705,741,11.5
P0V,22944,7580,3530,1070,14.12,71500,67500,970,21.6,21.4,19.8,850,880,14.8
P0W,6454,2500,1835,325,13,76500,68500,315,23.8,14.3,17.7,608,655,10.3
P0X,8410,3045,1890,185,6.08,75500,69000,170,20.6,23.5,23.5,910,930,14.8
P0Y,96,40,40,0,,,,0,,,,,,
P1A,16959,7420,4560,2865,38.61,74000,66500,2870,22.8,33.6,21.4,1020,1003,16.3
P1B,33113,15260,8650,6560,42.99,66000,59600,6480,14.2,37.5,22.6,970,1007,18.3
P1C,3371,1160,1095,65,5.6,153000,126000,70,0,0,0,1000,1360,10.7
P1H,18099,7775,6190,1585,20.39,82000,72500,1590,18.2,40.3,33.6,1110,1189,17.4
P1L,17984,7610,6100,1510,19.84,86000,76000,1505,18.9,42.6,27.3,1210,1265,17.7
P1P,11083,4645,3520,1125,24.22,72500,65500,1120,21.4,37.1,22.3,1020,1078,17.8
P2A,14695,6585,4965,1580,23.99,73500,66500,1565,21.1,39.9,13.5,1040,1142,18.6
P2B,9754,4410,2595,1760,39.91,66000,60800,1730,22.8,43.5,14.3,920,949,17.3
P2N,6944,3395,2055,1335,39.32,60800,54800,1340,23.5,34.2,13.8,750,779,15.4
P3A,24326,10330,6550,3780,36.59,83000,73500,3780,18.8,31.4,15.4,1050,1110,16
P3B,16434,7555,3670,3885,51.42,66500,60000,3880,26.5,28.7,18.2,900,910,16.4
P3C,17596,8810,3095,5710,64.81,54000,49200,5715,18.1,33.8,23.1,930,955,21.2
P3E,29132,13390,7220,6170,46.08,85000,73500,6170,16.4,32.5,15.2,1100,1135,16
P3G,4167,1585,1460,120,7.57,128000,105000,120,0,25,0,1100,1200,11.2
P3L,7996,3165,2525,635,20.06,102000,88000,635,10.2,27.6,17.6,1060,1084,12.8
P3N,7980,3040,2560,480,15.79,107000,91000,485,10.3,33,17,1000,1032,11.6
P3P,15408,5865,4995,870,14.83,109000,94000,870,10.9,34.7,17.8,1180,1128,12.4
P3Y,7757,2990,2605,385,12.88,113000,96000,385,16.9,37.7,22.1,1000,1048,11.1
