fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
L1R,42221,13105,11635,1475,11.26,135000,114000,1470,21.4,36.1,17.2,1900,1912,17
L1S,42045,15685,11755,3930,25.06,100000,87000,3925,9.9,37.7,28.2,1500,1522,18.3
L1T,52632,14990,13195,1790,11.94,130000,112000,1795,17.8,38.1,24.1,1600,1758,16.2
L1V,52787,17830,15320,2505,14.05,118000,102000,2510,15.1,37.8,25.2,1660,1696,17.2
L1W,18433,7090,5750,1340,18.9,106000,90000,1340,7.1,38.7,27.6,1740,1680,19
L1X,24639,7330,6460,870,11.87,129000,110000,865,2.3,43.4,25.1,2160,1940,18
L1Y,1976,730,575,155,21.23,133000,110000,145,0,24.1,17.2,1360,1480,13.4
L1Z,31989,8815,8010,805,9.13,134000,114000,805,1.9,37.9,19.9,2300,2124,19
L2A,17293,7265,5375,1890,26.02,72500,65500,1890,18,35.9,28,950,1025,17
L2E,18587,8380,5085,3300,39.38,60800,55600,3295,14.9,42,28.1,1070,1108,21.9
L2G,30344,12495,7895,4605,36.85,69000,62800,4600,13.9,38.4,22.3,1120,1212,21.1
L2H,29820,10355,8230,2125,20.52,91000,82000,2120,23.6,38.3,18.7,1290,1424,18.8
L2J,14908,6190,5035,1155,18.66,81000,72500,1155,15.2,38.9,22.7,1100,1132,16.8
L2M,33704,14430,9195,5235,36.28,72000,65000,5235,17.6,39.5,23.8,1180,1170,19.5
L2N,30719,13250,9680,3570,26.94,78500,69500,3570,15.4,42.3,25.4,1130,1212,18.5
L2P,15128,6450,4120,2325,36.05,71000,64500,2325,13.8,39.8,24.4,1200,1211,20.5
L2R,25558,11980,5980,6000,50.08,61200,55200,5995,14.3,42.3,28.4,990,1068,20.9
L2S,19400,7595,5560,2030,26.73,82000,74000,2030,23.6,37.9,22.8,1060,1184,17.3
L2T,11401,4880,3260,1615,33.09,74500,67000,1615,4.6,46.2,22,1330,1384,22.3
L2V,19795,7795,5330,2465,31.62,80000,72000,2470,10.1,36.4,21.8,1010,1234,18.5
L2W,1959,675,455,225,33.33,110000,96000,225,55.6,25,23.3,820,870,9.5
L3B,25869,10965,7185,3785,34.52,66500,60400,3780,14.3,43.1,32.3,970,1075,19.4
L3C,33462,13940,10120,3825,27.44,78500,70000,3820,14.3,36.9,23.1,1070,1131,17.3
L3K,19458,8760,6380,2385,27.23,70000,63200,2380,13.7,36.6,28.4,930,982,16.8
L3L,879,255,220,40,15.69,162000,136000,35,0,0,0,1280,1500,11.1
L3M,28433,11245,9290,1955,17.39,104000,89000,1950,5.4,42.8,25,1620,1536,17.7
L3P,37336,12645,10800,1845,14.59,115000,100000,1845,16.8,40.2,30.6,1410,1552,16.2
L3R,62060,21155,17545,3615,17.09,93000,83000,3610,4.3,51.8,29.1,1920,1896,24.5
L3S,55403,14990,12475,2515,16.78,106000,96000,2520,5.8,32.1,23.8,1300,1524,17.3
L3T,50405,19830,15025,4800,24.21,95000,83000,4805,5.7,52.2,33.7,1880,1896,23.9
L3V,48651,20395,14165,6085,29.84,77500,69500,6055,14,43.6,24.2,1170,1252,19.4
L3X,45284,13940,11795,2145,15.39,129000,111000,2145,18.9,35.5,22.6,2040,1886,17.5
L3Y,43556,16715,11425,5285,31.62,93000,82000,5280,16.7,41.2,30.1,1400,1500,19.4
L3Z,41072,12785,10650,2135,16.7,114000,98000,2140,7.7,33.1,25,1500,1606,16.9
L4A,50389,16925,14885,2045,12.08,122000,104000,2035,5.2,43.2,27.8,1640,1738,17.1
L4B,36080,12915,10335,2580,19.98,97000,84000,2585,6,55.5,29.8,1960,2048,25.3
L4C,74636,28600,19915,8680,30.35,86000,76000,8680,18,47.5,33.6,1600,1666,23.2
L4E,54606,16640,14505,2130,12.8,127000,109000,2135,3,57.4,23.2,2500,2458,23.2
L4G,62061,21510,17475,4035,18.76,119000,102000,4030,10.7,44.1,27,1800,1860,18.8
L4H,77353,21840,20180,1660,7.6,144000,122000,1660,2.1,49.4,19.9,2640,2410,20.1
L4J,75120,26250,22395,3860,14.7,115000,99000,3855,8.4,49.8,28,1940,1918,20
L4K,20172,7675,5190,2485,32.38,92000,80000,2485,4.2,58.3,29.9,1980,1930,25.2
L4L,55426,19845,16895,2950,14.87,110000,95000,2955,12.7,45.8,28.1,1920,1844,20.1
L4M,46902,18410,11390,7020,38.13,87000,76500,7015,11.5,42.6,26.8,1450,1470,20.3
L4N,100835,36800,26190,10610,28.83,97000,85000,10615,10.9,42.2,25.7,1550,1552,19.2
L4P,29861,10825,8630,2195,20.28,102000,88000,2190,16.2,42.2,33.6,1480,1494,17.6
L4R,19245,8460,5750,2705,31.97,70500,63200,2695,20.8,41.9,25.4,1070,1127,19.2
L4S,36688,11160,9455,1705,15.28,119000,104000,1705,12.3,55.2,30.4,2600,2314,23.3
L4T,38182,11410,6835,4580,40.14,84000,77000,4580,10.9,33.2,28.7,1350,1396,19.9
L4V,5,,,,,,,,,,,,,
L4W,19744,7130,5560,1570,22.02,105000,92000,1565,14.1,31.7,24.7,1500,1498,17.1
L4X,18719,6785,3190,3590,52.91,81000,73000,3590,9.3,37.5,35.8,1410,1450,21.5
L4Y,23490,8860,6015,2850,32.17,89000,79000,2845,16.2,41.5,35.3,1550,1494,20.1
L4Z,37218,12820,9180,3645,28.43,100000,87000,3640,20.1,35.2,23.9,1700,1616,19.4
L5A,47406,18140,9090,9045,49.86,80000,72000,9050,11.1,38.2,32.1,1510,1494,22.4
L5B,67131,27310,15100,12210,44.71,79000,69500,12210,11.5,46.7,28,1860,1730,26.3
L5C,29284,9880,7320,2565,25.96,102000,90000,2560,18.6,31.9,27.6,1410,1474,17.3
L5E,12972,5335,4105,1230,23.06,98000,85000,1230,16.3,41.6,29,1400,1540,18.9
L5G,20714,8695,4970,3730,42.9,95000,82000,3725,5.9,40,29.9,1410,1610,20.3
L5H,17409,6280,4980,1300,20.7,139000,116000,1305,3.1,46.5,31.4,1480,1766,15.2
L5J,28208,10640,7895,2750,25.85,107000,92000,2750,8.9,39.4,29.2,1540,1658,18.6
L5K,13363,4585,2985,1600,34.9,102000,90000,1605,16.2,38.2,35.1,1350,1476,17.4
L5L,43585,15205,11955,3255,21.41,110000,95000,3255,28.4,31.1,22.5,1400,1536,16.8
L5M,106468,32265,24710,7555,23.42,118000,102000,7550,10.5,44.7,24.2,2140,2052,20.9
L5N,83700,26590,22025,4565,17.17,123000,106000,4565,9.6,35,24.3,1700,1734,16.9
L5R,37022,12690,9395,3290,25.93,99000,86000,3295,13.8,39.1,24.5,1960,1810,21.9
L5S,27,,,,,,,,,,,,,
L5T,19,,,,,,,,,,,,,
L5V,49149,13635,11255,2380,17.46,126000,110000,2380,26.5,31,21.9,1600,1742,16.6
L5W,24145,6310,5655,660,10.46,142000,123000,655,0,31.8,14.5,2280,2000,16.9
L6A,89287,26605,23080,3525,13.25,133000,115000,3520,4.8,50.6,24.3,2280,2282,20.6
L6B,34763,10150,8425,1720,16.95,121000,104000,1710,1.8,49,22.1,2300,2196,21.8
L6C,51738,15895,13650,2250,14.16,118000,102000,2250,9.3,46.3,23.3,2380,2212,22.5
L6E,38387,11690,10190,1495,12.79,115000,100000,1495,1,49.7,26.5,2240,2114,22.1
L6G,8364,4505,2430,2070,45.95,61200,54800,2070,5.1,55.6,29.3,1920,1850,36.3
L6H,72662,24750,19100,5645,22.81,123000,104000,5640,8.8,48.6,22.9,2160,2204,21.5
L6J,24420,8295,6965,1325,15.97,158000,129000,1330,10.2,48.1,27,1800,2418,18.4
L6K,14118,6315,3190,3120,49.41,83000,73000,3120,19.4,43.9,31.4,1490,1584,22.9
L6L,30012,11275,8930,2345,20.8,122000,103000,2345,7.9,46.5,23.8,1900,2118,20.8
L6M,72547,22930,18840,4090,17.84,143000,119000,4090,12.7,42.4,19,2500,2428,20.4
L6P,91155,20980,18700,2280,10.87,134000,118000,2280,3.5,40.7,24,1900,1912,17.1
L6R,93783,23260,20000,3260,14.02,116000,103000,3260,5.5,37.6,21.3,1740,1812,18.7
L6S,54361,16840,13755,3090,18.35,105000,93000,3085,7.6,35.3,25.5,1600,1622,18.5
L6T,39614,13615,7325,6290,46.2,83000,74500,6285,13.7,34,29.7,1530,1522,22
L6V,42392,13860,9555,4305,31.06,93000,83000,4305,11.7,37.3,29.8,1360,1486,19.2
L6W,23547,8350,5080,3270,39.16,87000,77000,3265,22.7,36.4,35.8,1280,1273,17.6
L6X,76113,20995,16595,4400,20.96,116000,102000,4390,9.2,36.9,25.1,1550,1668,17.3
L6Y,97601,27630,19365,8260,29.9,106000,94000,8260,14.8,36.6,26.2,1430,1506,17
L6Z,33888,10075,8780,1295,12.85,119000,103000,1290,8.1,34,24.5,1600,1680,16.9
L7A,104009,26855,23310,3550,13.22,124000,108000,3550,2.5,42.6,19.4,2420,2190,21.2
L7B,17809,5535,4990,550,9.94,154000,127000,540,7.4,36.4,12.6,1800,1880,14.6
L7C,33846,9560,8460,1105,11.56,134000,115000,1085,5.5,36.9,20.9,1820,1864,16.7
L7E,34516,11320,10220,1100,9.72,132000,111000,1100,14.1,43.8,28.9,1740,1768,16.1
L7G,48051,16585,14285,2305,13.9,132000,111000,2295,14.4,41.5,30.2,1400,1522,13.8
L7J,13766,4960,4155,805,16.23,110000,95000,805,16.1,39.8,36.9,1210,1304,14.2
L7K,8486,2925,2605,325,11.11,134000,113000,315,12.7,41.9,35,1450,1500,13.4
L7L,47433,17500,14660,2840,16.23,122000,103000,2845,12.7,46.7,15.3,1940,1972,19.4
L7M,48498,16950,15185,1765,10.41,131000,110000,1760,13.1,38.6,15.6,1920,1874,17.2
L7N,13160,5380,3785,1595,29.65,101000,87000,1595,10.3,48.7,29,1420,1500,17.8
L7P,29777,10915,9250,1670,15.3,117000,100000,1665,8.7,35.7,19.1,1430,1500,15.4
L7R,17338,8300,4100,4205,50.66,86000,74500,4200,10.5,44.6,19.6,1590,1678,23.4
L7S,12207,6155,3120,3030,49.23,77000,67500,3030,11.6,47.3,23.8,1570,1542,24
L7T,18555,7990,4870,3120,39.05,93000,81000,3120,8.5,47.9,19,1780,1780,23
L8B,25778,8930,7700,1225,13.72,131000,110000,1220,7.8,42.2,18.4,1640,1700,15.6
L8E,41927,15295,10860,4435,29,91000,81000,4435,6.7,33.9,25.5,1200,1324,17.5
L8G,21805,9290,6125,3165,34.07,77000,69000,3160,11.4,40.7,31.3,1030,1259,19.6
L8H,26187,11265,7430,3835,34.04,70000,63200,3830,16.1,39.7,35.4,1050,1155,19.8
L8J,29146,9300,7685,1615,17.37,114000,98000,1615,21.4,30.7,18.6,1800,1628,17.1
L8K,32598,13925,8910,5010,35.98,75000,67000,5005,13,36.1,30.6,1050,1161,18.6
L8L,32312,13040,6820,6220,47.7,65000,58800,6220,13.8,39.8,32.8,1140,1187,21.9
L8M,13774,6425,2580,3845,59.84,61200,55600,3845,15.3,42.9,35.3,1090,1116,21.9
L8N,15568,7685,1955,5725,74.5,54800,49600,5725,8.9,40.7,32.7,1020,1095,24
L8P,24773,13490,4140,9345,69.27,58000,52000,9350,15.4,38.6,27.8,1080,1140,23.6
L8R,11651,5710,1820,3890,68.13,53600,48800,3895,24,34.5,30.6,990,1020,22.8
L8S,15787,7115,2805,4310,60.58,62800,57200,4310,6,44.6,23.9,1150,1259,24.1
L8T,19405,7735,5190,2545,32.9,85000,75500,2550,10,34.5,24.9,1120,1239,17.5
L8V,21165,9380,5285,4095,43.66,68500,62400,4100,18.9,37.1,29.4,1010,1116,19.6
L8W,26077,8510,6475,2035,23.91,101000,89000,2035,34.4,24.4,19.1,1200,1179,14
L9A,25899,10195,6775,3425,33.59,81000,72000,3420,11.1,34.8,26.6,1170,1252,18.5
L9B,25025,8370,6750,1620,19.35,105000,92000,1620,29,27.8,15.9,1220,1259,14.4
L9C,41202,14690,10445,4245,28.9,92000,81000,4240,12.7,30.1,21.2,1210,1334,17.4
L9E,16933,4860,3620,1240,25.51,124000,106000,1240,2,49.2,19.2,2600,2496,24.2
L9G,25020,8950,8050,905,10.11,138000,115000,900,7.2,39.7,14,2000,1776,15.4
L9H,31221,12640,9925,2715,21.48,106000,91000,2715,7.9,41.3,24.9,1260,1322,15
L9J,2272,1020,650,365,35.78,84000,72500,370,0,49.3,22.5,1940,1890,27
L9K,15928,4960,4290,670,13.51,128000,110000,670,7.5,50.4,14.5,2380,2240,21
L9L,14620,5660,4720,920,16.25,107000,92000,895,15.6,39.4,16.5,1300,1316,14.8
L9M,16607,6795,5545,1165,17.14,76000,68500,1140,17.5,40.1,28.4,930,982,15.5
L9N,21656,6985,5675,1305,18.68,117000,101000,1310,2.3,45.4,21.7,2360,2162,22.2
L9P,17383,6470,5350,1115,17.23,114000,98000,1105,10.9,43.2,27.6,1300,1548,16.3
L9R,25949,9665,7775,1890,19.56,99000,86000,1890,7.1,39.2,31.5,1390,1442,17.5
L9S,33434,12180,10470,1705,14,100000,87000,1705,5.3,41,20.1,1900,1844,22.1
L9T,110956,33420,27810,5610,16.79,126000,107000,5610,7.5,39.7,22,2060,1952,18.6
L9V,17750,6140,5260,880,14.33,105000,91000,875,18.9,39.7,13.6,1140,1288,14.7
L9W,48790,17285,14065,3220,18.63,110000,95000,3215,15.1,41.9,32.6,1350,1436,15.7
L9X,12896,4250,3950,305,7.18,141000,118000,300,0,30.5,17.2,1450,1640,14
L9Y,28925,12895,9650,3245,25.16,85000,74000,3250,12.8,47.8,25.8,1410,1544,21.8
L9Z,24849,10800,9230,1570,14.54,76000,68000,1565,9.3,44.1,21.2,1430,1432,22.6
M1B,65555,20565,14800,5765,28.03,91000,82000,5770,20.6,33.6,30.6,1340,1396,18.4
M1C,35642,11385,10155,1230,10.8,130000,112000,1235,6.9,33.9,23.2,1430,1588,14.7
M1E,48033,17335,10895,6440,37.15,82000,74000,6440,38.4,31.7,36.1,1120,1106,16.2
M1G,30894,10350,4760,5590,54.01,73500,67500,5595,36.2,30.2,35.7,1130,1099,17.9
M1H,23964,8610,5325,3285,38.15,80000,72000,3290,17.9,33.7,29.8,1400,1394,20.9
M1J,37002,12610,5745,6865,54.44,76500,70000,6865,14.8,31.8,35.9,1250,1277,20
M1K,48175,17600,8740,8870,50.4,72500,66500,8865,24.9,27.7,31.7,1140,1143,18.9
M1L,35833,12675,6420,6250,49.31,78000,71000,6255,26.1,33.1,37.4,1210,1232,19
M1M,23258,8650,5460,3190,36.88,87000,77500,3185,30.3,34.2,35,1200,1197,16.5
M1N,22976,9515,6195,3315,34.84,90000,78500,3315,18.1,39.3,31.9,1200,1318,17.6
M1P,45170,16490,9765,6730,40.81,76000,68500,6725,12,36.5,32.6,1360,1402,22.1
M1R,30467,10945,6085,4855,44.36,81000,73000,4860,12.1,41,36.9,1300,1378,20.4
M1S,37663,13330,9945,3390,25.43,81000,73000,3390,5.2,38.5,24.6,1600,1494,22.1
M1T,34607,13235,6935,6295,47.56,71500,65500,6300,25,33.3,33.4,1280,1256,21.1
M1V,50825,15970,13005,2970,18.6,82000,75500,2970,9.8,38.1,34,1450,1424,20.8
M1W,47070,16725,12355,4370,26.13,82000,74000,4370,16.4,35.1,30.5,1410,1378,20.2
M1X,14810,3700,3255,445,12.03,122000,109000,450,0,34.1,24.7,1840,1820,17.9
M2H,23396,8590,6475,2115,24.62,91000,81000,2115,40.7,26.6,23.8,1000,1376,18.1
M2J,61761,24175,12330,11845,49,83000,73500,11840,5.7,41.3,28.1,1700,1702,24.6
M2K,25377,11675,6505,5165,44.24,83000,72500,5170,2.1,52.8,28.1,1900,1942,28.1
M2L,11274,3900,2680,1215,31.15,133000,109000,1220,3.3,44.8,25.2,1680,2124,19.2
M2M,31915,12565,7230,5335,42.46,81000,72000,5335,8.4,51.3,31.7,1800,1876,27.8
M2N,75100,34075,20060,14015,41.13,82000,71000,14015,6.2,49.9,24.8,1960,1956,28.6
M2P,7546,3000,2070,925,30.83,120000,101000,925,2.2,42.5,21.8,1780,2100,21
M2R,40581,15345,6750,8600,56.04,78000,70500,8595,13.5,40.5,32.4,1500,1532,23.6
M3A,34361,13125,5120,8005,60.99,85000,75500,8005,8.4,38.5,31,1530,1558,22
M3B,12880,4960,3835,1125,22.68,121000,101000,1130,0,41.4,24.6,1660,1924,19.1
M3C,39616,16240,7305,8935,55.02,74500,67000,8935,14.9,38.6,33.3,1450,1490,24
M3H,38416,14780,8020,6760,45.74,92000,81000,6760,11.5,37.6,28.3,1500,1510,19.7
M3J,26600,9675,4625,5050,52.2,75500,68500,5045,11.3,36.5,29.3,1300,1354,21.5
M3K,7865,2930,1735,1195,40.78,88000,77500,1195,5,37.4,33.5,1500,1604,21.9
M3L,19263,6435,3815,2620,40.71,77500,71500,2620,28.2,34.8,38.9,1260,1198,18.5
M3M,24906,9545,4075,5470,57.31,74000,67000,5475,9.2,32.6,33.1,1220,1275,20.7
M3N,40846,13585,5065,8520,62.72,66500,62400,8525,28.7,29.3,35.4,1210,1185,21.4
M4A,14589,6055,2995,3060,50.54,70500,63600,3065,25.9,37.5,36.7,1230,1201,20.4
M4B,18612,7605,3635,3970,52.2,78000,69500,3975,14.5,40.2,35,1210,1316,20.2
M4C,46440,19105,10200,8905,46.61,83000,73000,8905,16.7,38,33.7,1290,1336,19.3
M4E,25473,10905,6995,3910,35.86,112000,94000,3905,15.9,42.6,30.2,1350,1484,15.9
M4G,19598,8090,5480,2610,32.26,130000,106000,2610,1.9,44.6,27.3,1700,1834,16.9
M4H,18698,6060,620,5440,89.77,64500,60400,5440,9.7,35.2,42.8,1320,1372,25.5
M4J,35128,14565,8985,5585,38.35,93000,81000,5580,26.7,35.6,32.8,1130,1272,16.4
M4K,30913,14195,6320,7875,55.48,84000,72500,7875,10.6,41.2,33.8,1350,1422,20.3
M4L,32218,13805,8385,5420,39.26,101000,86000,5420,22,37.5,28.7,1320,1474,17.5
M4M,25052,11445,6410,5035,43.99,99000,85000,5035,23,35.4,24.2,1550,1608,19.5
M4N,16058,6185,3955,2235,36.14,146000,118000,2230,8.3,41.9,24,1600,1926,15.8
M4P,25057,13855,3535,10315,74.45,74500,64500,10320,8.7,45.6,27.2,1680,1704,27.4
M4R,11909,5450,2650,2800,51.38,107000,88000,2805,4.3,48.9,29,1660,1880,21.1
M4S,30754,15845,6130,9710,61.28,88000,75000,9710,6.8,44.9,24.6,1720,1822,24.8
M4T,10332,5105,2510,2590,50.73,114000,94000,2595,0,48.7,24.3,1860,2082,21.9
M4V,19273,10160,4465,5700,56.1,99000,83000,5700,2.5,45,23,1700,1982,24
M4W,15296,8020,4490,3530,44.01,104000,85000,3530,3.3,50.6,21.9,2000,2208,25.5
M4X,19896,9850,1515,8335,84.62,58800,53200,8340,29.4,33.9,33.7,1210,1208,24.7
M4Y,36319,22815,6510,16305,71.47,62400,55200,16305,9.2,52.3,25.8,1740,1762,33.9
M5A,48978,27205,9585,17625,64.79,71000,62400,17625,34.7,35.4,25.8,1380,1396,23.6
M5B,17422,10640,3020,7625,71.66,58000,52400,7620,17.3,52,23.9,1680,1646,34.1
M5C,3149,1870,885,985,52.67,89000,75000,985,13.2,40.6,18.9,1800,1828,24.6
M5E,11779,7410,3085,4320,58.3,98000,81000,4320,11.9,40.3,16.2,2060,2044,25
M5G,9751,5680,1685,4000,70.42,67500,59600,3995,9.3,56.1,21,2000,1990,35.4
M5H,3248,1955,700,1255,64.19,90000,75500,1250,0,46.6,16.9,2000,2316,30.9
M5J,16879,9930,4305,5625,56.65,94000,78500,5620,0.5,43.8,13.2,2100,2214,28.3
M5M,25495,9315,7110,2205,23.67,164000,132000,2205,6.6,36,21.5,1520,2078,15.2
M5N,16154,6310,3100,3205,50.79,110000,93000,3210,7.8,41.2,30.4,1570,1726,18.8
M5P,19791,9510,3715,5795,60.94,99000,84000,5800,4.7,46.3,25.2,1740,1966,23.8
M5R,26197,13905,5370,8535,61.38,86000,73500,8535,9.2,44.7,24.2,1680,1916,26.7
M5S,17074,8955,3215,5740,64.1,70000,61600,5740,5,56.9,19.9,1940,2060,35.3
M5T,17903,9035,2870,6170,68.29,61600,55600,6165,25.5,42.7,26.3,1500,1502,29.3
M5V,59912,37205,15540,21665,58.23,91000,76000,21665,3.9,45.1,15.7,2000,2072,27.3
